Supplementary Table S1: Summary of identified proteins,,,,,,,,,,,,,,,,,,,
id,Class,Protein.ID,RefSeq,Offical gene symbol,Uniprot,log2FC.experiment L1,log2FC.experiment H1 (label swap),log2FC.experiment L2,mean log2FC (experiment 1-3),log10 iBAQ,Functional Group,RNA binding,spliceosome,nucleolus,OMIM Phenotype,Phenotype MIM number,RNA-binding prediction (% precision),mRNA-binding prediction (% precision),ssRNA-binding prediction (% precision)
1010,I,IPI00304692,NP_002130  ,RBMX,P38159;B4E352;B3KRG5;Q8N8Y7,-6.479456055,3.534808661,-6.037793045,5.3506859203,9.1868184476,RNAbinding,x,x,x,,,,,20
852,I,IPI00219229,NP_055278,LSM3,P62310;B2R5H5;Q6IAH0,-6.636517144,2.65681668,-6.72562263,5.3396521513,6.6367185227,RNAbinding,x,x,,,,,,
255,I,IPI00011913,NP_006796,HNRNPA0,Q13151,-6.589216059,3.166619048,-6.258701293,5.3381788,9.5716564339,RNAbinding,x,,x,,,,80,20
521,I,IPI00027569,NP_001013653,HNRNPCL1,O60812;B2RP44;B7ZW41;Q6PKD2;B7ZW38,-6.659288712,2.856288567,-6.493296513,5.336291264,6.9613395348,RNAbinding,x,,,,,,,
1336,I,IPI00783271,NP_573566,LRPPRC,P42704;B4DSR0,-6.51134515,3.262823997,-6.16980959,5.314659579,9.3191721478,RNAbinding,x,,,"Leigh syndrome, French-Canadian type",220111,,,
527,I,IPI00027834,NP_001524 ,HNRNPL,P14866;B2R959;Q6NTA2;A6NIT8,-6.153696849,3.282232208,-6.506614998,5.3141813517,9.722390835,RNAbinding,x,,x,,,,50,20
234,I,IPI00010740,NP_005057 ,SFPQ,P23246-1;P23246;Q6PIX2;Q86VG2;Q9BSV4;P23246-2,-6.228962967,3.316725022,-6.387087047,5.310925012,9.3134500599,RNAbinding,x,,x,,,,20,
1064,I,IPI00377261,NP_003925,FUBP3,Q96I24-1;Q96I24;A3KFK8;A6NJ37,-6.114185141,3.030918689,-6.76559384,5.30356589,9.0047161104,RNAbinding,x,,,,,,,
260,I,IPI00012074,NP_001095868 ,HNRNPR,O43390-1;O43390;B2R7W4;B4DMB1;B4DT28;Q2L7G6;B4DMD1;Q0VGD6;Q7Z334,-6.367895609,3.217649502,-6.283435724,5.2896602783,9.0240387988,RNAbinding,x,x,x,,,,50,20
1374,I,IPI00807545,NP_002131,HNRNPK,P61978-3;P61978;B4DUQ1;Q5T6W2;B3KU16;Q5T6W5,-6.437087954,3.236232374,-6.167422654,5.2802476607,9.4216617691,RNAbinding,x,x,x,,,,20,
1455,I,IPI00301936,NP_001410,ELAVL1,B4DVB8;Q15717;Q53XN6,-6.050454609,3.009544248,-6.536436131,5.1988116627,8.9833362741,RNAbinding,x,x,x,,,,,
1383,I,IPI00844578,NP_001348,DHX9,Q08211;B3KU66;Q05CI5;Q12803;Q32Q22;Q58F26;Q6PJK6,-6.262572817,3.167036722,-6.125421766,5.185010435,9.3350077933,helicase,x,,,,,,20,
537,I,IPI00028888,NP_112738  ,HNRNPD,Q14103-1;Q14103;Q14103-3,-5.901504981,3.511594542,-6.131174186,5.1814245697,9.0636336746,RNAbinding,x,x,,,,,50,20
1044,I,IPI00334587,NP_112556 ,HNRNPAB,Q99729-2;Q99729;B4DMY3;Q53F64;B5MD22;Q99729-3;Q99729-1;Q99729-4,-6.116085201,3.344118335,-6.081284044,5.18049586,9.4176275232,RNAbinding,x,x,x,,,,,
1413,I,IPI00940000,NP_006377 ,DDX17,Q59F66;Q92841-4;Q92841;Q92841-3;Q92841-2;B1AHM1;C9J5E1;Q92841-1;C9JMU5;B1AHM2;B4DZQ7,-6.43933982,3.138241077,-5.954735979,5.1774389587,8.9729497721,helicase,x,x,x,,,,20,20
133,I,IPI00005511,NP_116147,PHF5A,Q7RTV0,-6.345080587,3.072208724,-6.061974726,5.159754679,6.5090919551,RNAbinding,,x,,,,50,,
245,I,IPI00011268,NP_057951 ,RALY,Q9UKM9-1;Q9UKM9;Q53GL6;Q5QPL9;B4DSJ1;Q5QPM1,-6.172928932,3.216470386,-6.040639346,5.1433462213,8.5390828339,RNAbinding,x,x,,,,,50,20
1293,I,IPI00644708,NP_003243 ,TIAL1,A8K4L9;A8K5C4,-6.102837037,3.13093087,-6.187891201,5.140553036,9.0032989342,RNAbinding,,,,,,,,
1247,I,IPI00551014,NP_001018494,PUM1,Q14671-1;Q14671;B4DG92,-5.444670714,2.883523069,-7.023100888,5.1170982237,8.1285809946,RNAbinding,x,,,,,,,
1351,I,IPI00789551,NP_001181884,MATR3,A8MXP9,-5.952768749,3.274336217,-6.113685541,5.1135968357,9.1373882965,RNAbinding,x,,,"Myopathy, distal 2 606070",606070,,,
626,I,IPI00061178,NP_001008661,CCBL2,Q2VIN3;Q96E39;Q5T9T9,-4.949644582,3.443606651,-6.933859821,5.109037018,7.0447222646,RNAbinding,x,,x,,,0,,
1224,I,IPI00479786,NP_003676,KHSRP,Q92945-1;Q92945;Q92945-2;B4DV73,-5.99594308,3.028798975,-6.271684138,5.098808731,8.999820949,RNAbinding,x,,,,,,50,
119,I,IPI00004436,NP_055277,LSM1,O15116;B2R5E6,-6.625222016,2.813976102,-5.82141155,5.0868698893,6.8984908227,RNAbinding,x,,,,,,20,
886,I,IPI00260715,NP_004951,FUS,P35637-1;P35637;Q13344;P35637-2;B4DR70;Q70T18;A6NMX6,-6.178978852,3.31702905,-5.734659127,5.0768890097,9.0822635658,RNAbinding,x,,x,"Amyotrophic lateral sclerosis 6, autosomal recessive, with or without frontotemporal dementia",608030,,20,
1314,I,IPI00719622,NP_001022,RPS28,P62857;B2R4R9,-6.777826555,2.919435433,-5.532691301,5.0766510963,7.8961917334,ribosomal,,,,,,80,,
450,I,IPI00023591,NP_005850,PURA,Q00577;Q2NLC9;Q2NLD4;Q56A79;Q5U0P9,-6.01130877,3.043886901,-6.135427537,5.0635410693,8.9191192026,RNAbinding,x,,,,,20,20,
1113,I,IPI00410693,NP_001018077,SERBP1,Q8NC51-1;Q8NC51;Q8NC51-3;Q8NC51-2;Q63HR1;Q8NC51-4;Q5VU21,-5.916153517,3.168609947,-6.024208423,5.0363239623,8.5302240995,RNAbinding,x,,,,,,,
539,I,IPI00029012,NP_003741,EIF3A,Q14152;B4DYS1;Q05BS0;Q24JU4;Q3B770;Q6P1R0;Q7Z5T5,-5.781345287,3.384049807,-5.934477319,5.0332908043,8.4228062243,translationfactor,,,,,,,,
617,I,IPI00045051,NP_150093,PURB,Q96QR8;A4D2L7,-6.333050759,3.009974139,-5.70312563,5.0153835093,8.6944938693,RNAbinding,x,,,,,,,
1144,I,IPI00418313,NP_060090,ILF3,Q12906-4;Q12906;Q12906-6;A8K590,-5.924979505,3.156331891,-5.944304557,5.008538651,8.8077466678,translationfactor,x,,,,,,,
131,I,IPI00005198,NP_004506,ILF2,Q12905;B4DY09;Q53FG3,-6.121197769,3.13692961,-5.758203738,5.0054437057,8.788569001,RNAbinding,x,x,x,,,,,
1008,I,IPI00304596,NP_001138880 ,NONO,Q15233;A8K525;B7Z4C2;C9JRA5;C9JYS8,-5.739429897,3.151452961,-6.102936194,4.997939684,9.307967269,RNAbinding,x,,x,,,,,
390,I,IPI00294426,NP_631961  ,TAF15,Q92804-1;Q92804;Q86X94;Q92804-2;B4E312,-5.96912438,3.171975377,-5.799470537,4.980190098,8.0012006488,RNAbinding,x,,,"Chondrosarcoma, extraskeletal myxoid",612237,,,
609,I,IPI00034049,NP_002902,UPF1,Q92900-1;Q92900;Q92900-2;B3KY55;O60385,-5.752825922,2.900393478,-6.268900194,4.9740398647,8.3330547459,helicase,x,,,,,,,
303,I,IPI00013877,NP_036339,HNRNPH3,P31942-1;P31942;Q53F48;P31942-2;P31942-3;B4DHY1;P31942-4,-6.159563354,3.045740007,-5.711417003,4.9722401213,9.0311275008,RNAbinding,x,x,x,,,,50,20
227,I,IPI00010244,NP_073750,MRPS11,P82912-1;P82912;Q53FX9;Q53GJ8;P82912-2,-6.109495717,2.587388996,-6.196753121,4.9645459447,7.3111496657,ribosomal,,,,,,,,
1147,I,IPI00419373,NP_919223,HNRNPA3,P51991-1;P51991;Q65ZQ3,-5.989695649,3.083247414,-5.818314763,4.9637526087,9.1042549668,RNAbinding,x,x,,,,,,20
774,I,IPI00215637,NP_001347,DDX3X,O00571;A8K538;B4E3E8;B5BTY4;Q59GX6;Q5S4N1;B4DLU5;O15523;B4DK29;B4DXX7;B4E010,-5.528889555,3.242373852,-6.108101809,4.9597884053,8.8372187735,helicase,x,x,x,,,,,
1410,I,IPI00885166,NP_001108206,PABPC4L,P0CB38,-5.94457109,3.204031133,-5.72577532,4.9581258477,6.9951822394,RNAbinding,x,,,,,50,20,20
1088,I,IPI00396378,NP_002128 ,HNRNPA2B1,P22626-1;P22626;P22626-2;B8ZZ37,-5.912412244,2.925543759,-5.986307642,4.941421215,9.9514055238,RNAbinding,x,x,,,,,50,20
592,I,IPI00032460,NP_067000,LSM2,Q9Y333;Q6FGG1,-6.326089051,2.518560317,-5.9637119,4.9361204227,6.8810837178,RNAbinding,x,x,,,,,20,
1255,I,IPI00554742,NP_001136402,API5,Q9BZZ5-2;Q9BZZ5;B4DGR0;Q9BZZ5-3;B4DDR3,-5.706511798,3.103514425,-5.955720601,4.921915608,4.9789496529,candidate mRNA binder,,,,,,20,,
1261,I,IPI00642904,NP_001129125,PABPC4,Q3B867;Q4VC03;Q53GL4;Q6IQ30;Q13310-2;Q13310;B1ANR7;Q147Y3;Q13310-1;B1ANR0;Q15164,-5.35472997,3.344828497,-6.045872196,4.9151435543,8.6520764495,RNAbinding,x,,,,,,20,
261,I,IPI00012079,NP_001408,EIF4B,P23588;B4DRM3;B4DEP6;B4DS13;Q7Z5Y0,-5.697499618,3.266831507,-5.763993617,4.9094415807,8.3760583151,translationfactor,x,,,,,,20,
1226,I,IPI00647067,NP_067013,PTBP2,Q9UKA9-2;Q9UKA9;B4DSI2;Q9UKA9-1;Q9UKA9-5;A8MYV9;B4DI28,-6.120193876,2.862510903,-5.726768201,4.90315766,8.5876745649,RNAbinding,x,,,,,,,20
1057,I,IPI00873767,NP_003893,FUBP1,Q96AE4-1;Q96AE4;B4DWL1;B4E0X8;Q59FU3;Q6PJY1;A6NL74;B4DT31;C9JSZ1,-5.72814409,3.142397099,-5.837738394,4.902759861,8.3418214999,helicase,x,,,,,,,
1204,I,IPI00470891,NP_001229820,CSDE1,O75534-1;O75534;Q9GZV0;Q68DF1;O75534-2;Q8WU01;Q96L66;Q9UG12;Q9UG93,-5.469066297,3.14481321,-6.08020992,4.898029809,8.4111726042,RNAbinding,x,,,,,50,20,
923,I,IPI00291939,NP_006297,SMC1A,Q14683;A8K7A6;Q68EN4;Q6MZR8;Q6P2R1;B7Z709,-5.392530957,2.683561722,-6.615994414,4.8973623643,5.8425525099,candidate mRNA binder,,,x,Cornelia de Lange syndrome 2,300590,0,,
554,I,IPI00029764,NP_006793,SF3A3,Q12874;A8K566;A8K7V1;B3KY12;Q53HM6;B4DW90,-5.728985557,3.04565265,-5.904353684,4.892997297,7.3962528713,RNAbinding,,x,x,,,,20,
487,I,IPI00025815,NP_031401,TARDBP,Q13148;A4GUK4;A4GUK5;B2R629;B4DRW3;Q53H27;B1AKP7,-6.109595334,3.213160614,-5.331365265,4.884707071,8.5424497495,RNAbinding,x,,,"Amyotrophic lateral sclerosis 10, with or without FTD; Frontotemporal lobar degeneration, TARDBP-related ",612069,,,
1167,I,IPI00444452,NP_066014,MOV10,Q9HCE1-1;Q9HCE1;B3KQ43;B7Z700;Q5JR04;Q9HCE1-2,-5.685570289,2.924213928,-6.042540005,4.884108074,8.3699402555,helicase,x,,,,,,,
1159,I,IPI00430812,NP_001120664,CNBP,P62633-1;P62633;P62633-2;A8K7V4;P62633-3;B4DP17;Q4JGY0;Q6T598,-4.576355141,3.041628491,-7.031834027,4.883272553,7.9205687455,RNAbinding,x,,,Myotonic dystrophy 2,602668,,,
1068,I,IPI00384265,NP_055427,FAM120A,Q9NZB2-6;Q9NZB2;Q9NZB2-1;Q9NZB2-4;Q9NZB2-5;C9JC82,-5.74878628,3.04949137,-5.846262099,4.8815132497,8.4668599775,RNAbinding,x,,,,,,,
200,I,IPI00008575,NP_006550,KHDRBS1,Q07666-1;Q07666;B2R7B5;B4DDX2;B4E043;Q07666-2;Q07666-3,-5.629215243,3.245951947,-5.749717502,4.874961564,8.8620234172,RNAbinding,x,,x,,,,,
495,I,IPI00026230,NP_062543,HNRNPH2,P55795;A1L400;B4DFK9;B4DP00,-5.629500897,2.961975162,-6.025147677,4.872207912,8.3013831339,RNAbinding,x,x,,,,,50,
1031,I,IPI00328840,NP_005773,THOC4,Q86V81,-5.989054064,3.184962596,-5.434714792,4.8695771507,9.2534573472,RNAbinding,x,,x,,,,50,20
464,I,IPI00024320,NP_006734,RBM3,P98179,-5.936243055,3.133284034,-5.51351833,4.8610151397,8.6075440177,RNAbinding,x,,x,,,,20,
583,I,IPI00031812,NP_004550,YBX1,P67809;A0JLU4;Q05D43;Q6PKI6;Q7KZ24,-5.913977178,3.357974195,-5.289573303,4.8538415587,9.4019664289,RNAbinding,x,x,,,,,,
725,I,IPI00171903,NP_005959,HNRNPM,P52272-1;P52272;Q59ES8;Q7KYM9;P52272-2;B4DEG4;Q6P2D7;Q8TCM5,-5.633434384,2.959714523,-5.936331399,4.843160102,9.1921496323,RNAbinding,x,x,x,,,,20,
432,I,IPI00022790,NP_005917,MFAP1,P55081,-5.028298643,3.018100008,-6.481001662,4.842466771,7.9061302393,candidate mRNA binder,,x,,,,0,,
190,I,IPI00008433,NP_001000,RPS5,P46782;Q53G25,-7.082358969,2.805911505,-4.590883915,4.8263847963,7.8690967153,ribosomal,,,x,,,,,
1407,I,IPI00883857,NP_114032,HNRNPU,Q00839-1;Q00839;B3KX72;Q5RI17;Q5RI18;Q96BA7,-5.701923571,3.086410139,-5.686461575,4.8249317617,9.2653774917,RNAbinding,x,x,,,,,20,
983,I,IPI00719040,NP_056422,CHTOP,Q9Y3Y2-3;Q9Y3Y2;Q0VAQ8;Q9Y3Y2-1;Q5T7Y9,-5.637881394,3.229603303,-5.604156272,4.823880323,8.4320350296,RNAbinding,,,,,,,,
745,I,IPI00179713,NP_006539 ,IGF2BP2,Q9Y6M1-2;Q9Y6M1;Q9Y6M1-3;Q9Y6M1-1;B4DKT5;Q9Y6M1-4;Q9Y6M1-5,-5.633720875,2.898440558,-5.909460881,4.8138741047,8.5407231725,RNAbinding,x,,,"Diabetes mellitus, noninsulin-dependent, susceptibility to",125853,,,
341,I,IPI00016910,NP_003743,EIF3C,Q99613;A1KYQ7;B3KNZ4;B4DVQ5;B4E1D5;B4E2Z6;Q3B7B9;B4DDN4;B5ME19;B4DVU3;C9J1F3;B4DRU0;C9JJ55,-5.834359426,2.979586391,-5.576148644,4.7966981537,8.1598286432,translationfactor,x,,,,,,,
799,I,IPI00216592,NP_001070910,HNRNPC,P07910-2;P07910;B2R5W2;B3KX96;B4DY08;P07910-4;P07910-3;B4DQQ2,-6.006477795,2.981743077,-5.394046808,4.7940892267,9.5280304202,RNAbinding,x,,,,,,,
582,I,IPI00031801,NP_003642,CSDA,P16989-1;P16989;P16989-3,-5.995022642,3.305240966,-5.041684399,4.7806493357,9.4418647365,RNAbinding,x,,,,,,,
313,I,IPI00014263,NP_071496 ,EIF4H,Q15056-1;Q15056;Q75MU2,-5.762034977,3.103799743,-5.471112673,4.7789824643,7.8708862868,translationfactor,x,,,Williams-Beuren syndrome,194050,,,
785,I,IPI00215965,NP_112420,HNRNPA1,P09651-1;P09651;P09651-2;Q3MI39;Q6IPF2;Q9BSM5;P09651-3;P0C7M2;C9JCD7;Q0VAC0;Q32P51;B4DP35;C9JV67;B4E0B5,-5.662514962,2.99566541,-5.668813032,4.775664468,10.0404500335,RNAbinding,x,x,x,,,,50,
601,I,IPI00032881,NP_057154,MRPS23 ,Q9Y3D9,-6.236014012,2.802916968,-5.282593143,4.7738413743,7.5045074713,ribosomal,,,,,,50,,
191,I,IPI00008438,NP_001005,RPS10,P46783;Q59GE4;Q5TZB9,-5.67683518,2.958508636,-5.657117613,4.7641538097,8.1746858824,ribosomal,,,x,Diamond-Blackfan anemia 9,613308,80,,
489,I,IPI00026089,NP_036565 ,SF3B1,O75533;A0JLT9;A0PJH5;Q32Q20;Q7Z497;Q9NTB4,-5.534629374,3.052728885,-5.679050962,4.7554697403,8.127214002,RNAbinding,,x,,,,,,
1331,I,IPI00760846,NP_510880,MYO18A,Q92614-1;Q92614;Q92614-4;Q5QD01;Q92614-3;B4E0T8;Q92614-2;Q92614-5;B3KVF8;B4DFN7;B4DYM1;B4DZ32;Q9NYE8,-6.466895198,3.362189318,-4.422845295,4.7506432703,5.1092874623,candidate mRNA binder,,,,,,0,,
138,I,IPI00005648,NP_055464,SAFB2,Q14151;A0PJ47;C9JPX0;A8MXT5;B4DU53,-5.776117838,3.303400849,-5.172044434,4.7505210403,7.7804105075,RNAbinding,x,,,,,,,
1016,I,IPI00306057,NP_059965,RBM38,Q9H0Z9-1;Q9H0Z9;Q9H0Z9-2;Q9BX46-1;Q9BX46;A8KAI7,-6.284559931,2.682708122,-5.2511541,4.739474051,8.0909904711,RNAbinding,x,,,,,,,
350,I,IPI00017617,NP_004387,DDX5,P17844;B4DN41;B5BUE6;Q59E92;Q7Z2V5;B4DLW8;B4DNG2,-5.306944438,3.258549075,-5.594783093,4.720092202,8.8374376154,helicase,x,x,x,,,,,20
484,I,IPI00025491,NP_001407,EIF4A1,P60842;A8K088;A8K7F6;B4DKP9;B4DNH2;B4E047;Q59F68,-5.64811843,2.905023502,-5.599811857,4.717651263,8.4564609298,translationfactor,x,,x,,,,,
244,I,IPI00011253,NP_000996,RPS3,P23396;Q53G83;Q9NQS8,-5.39519992,2.890407779,-5.86002241,4.7152100363,8.7628210549,ribosomal,,,,,,,,
1084,I,IPI00395878,NP_055309,TNRC6A,Q8NDV7-1;Q8NDV7;Q8NDV7-5;C9JAR8;Q8NDV7-6;Q8NDV7-2;C9JA83,-5.401162232,3.576159302,-5.145350001,4.7075571783,6.262394946,RNAbinding,x,,,,,,20,
107,I,IPI00003881,NP_004957,HNRNPF,P52597;B4DKS8;Q8NI96,-5.615994414,3.254760312,-5.224802773,4.6985191663,9.1684974835,RNAbinding,x,x,x,,,,80,
304,I,IPI00479191,NP_005511 ,HNRNPH1,P31943;Q68DG4,-5.544695666,3.068963103,-5.429917952,4.6811922403,9.4916729045,RNAbinding,x,x,x,,,,80,
875,I,IPI00220834,NP_066964,XRCC5,P13010;Q53T09;Q53TC2,-5.698473223,3.139747791,-5.181489707,4.673236907,8.0249697716,helicase,,,x,,,20,,
1278,I,IPI00641829,NP_004631  ,DDX39B ,Q13838-2;Q13838;Q13838-1;Q5STA0;Q5STU3;B0V2L1;B0V2L2;A2BF54;A6PWH1;B0S4X2;B0S8C3;B0UZ18;B0UZ99;B0V2L0;B0V2L3;A2BF56;B0S4X4;B0S8B3;B0UZ21;B0UZA2;Q59G92;Q5STA2;Q5STU9;A2BF57;A6PWH2;B0S4X3;B0S8B2;B0UZ20;B0UZA1;A2BF55;A6PWH3;B0S8C4;B0UZ19;B0UZA0;Q5RJ65,-5.474764986,2.903481811,-5.635225885,4.6711575607,8.6341143668,helicase,,x,,,,,20,20
281,I,IPI00013070,NP_008971,HNRNPUL1,Q9BUJ2-1;Q9BUJ2;A8K3W4;A8K5K0;A8K6U7;B7Z4B8;Q9BUJ2-2;Q9BUJ2-4;B3KM60;Q9BUJ2-3,-5.621239811,3.079224489,-5.287261608,4.6625753027,8.5859469235,RNAbinding,x,,,,,,20,
1450,I,IPI00940039,NP_115687,POLDIP3,Q9BY77-1;Q9BY77;B4DMM2;Q96DI9;B4E0L0;C9JF18;Q659C6,-5.766975853,2.843119576,-5.361060574,4.657052001,7.8342900802,RNAbinding,x,,,,,,20,
269,I,IPI00012442,NP_005745,G3BP1,Q13283;B7Z8K4;Q32P45;Q53HH4;Q5HYE9;Q5U0Q1;Q6FI03;Q6ZP53,-5.393864821,3.194449572,-5.367419079,4.6519111573,8.5992404723,helicase,x,,,,,,,
820,I,IPI00217661,NP_597709,RAVER1,Q8IY67-2;Q8IY67,-5.809873179,2.860784063,-5.283829097,4.6514954463,8.1383426945,RNAbinding,x,,,,,,,
621,I,IPI00059292,NP_060518,MAGOH2,Q96A72;A6NEC0,-6.500854684,2.788247198,-4.658501494,4.6492011253,6.9314277204,RNAbinding,x,,,,,,,
246,I,IPI00011274,NP_112740,HNRPDL ,O14979-1;O14979;B4DGN3;B4DTA2,-5.537641894,3.20387457,-5.189417055,4.6436445063,8.269876793,RNAbinding,x,,x,,,,,
344,I,IPI00017339,NP_005841,SF3B4,Q15427;B3KUJ0;Q53FG6;Q5SZ64,-4.856172989,3.195646816,-5.863210131,4.638343312,8.2286928699,RNAbinding,x,x,,,,,50,
1430,I,IPI00915287,NP_001231827 ,ROD1,O95758-5;O95758;A8MZ28;B1ALY4;O95758-3;O95758-4;B1ALY2;O95758-1,-5.591162078,2.891633048,-5.415314523,4.6327032163,8.1599589943,RNAbinding,x,,,,,,,
982,I,IPI00646058,NP_002958,SAFB,A0AV56;A8K329;B7Z1C7;B7Z2F6;B7Z5X3;B7ZLP6;Q15424;B7Z959;B7ZLP5;Q68DW3;B7Z2Z1;B7Z5B6,-5.596457401,3.178332209,-5.115584943,4.630124851,7.7029612977,RNAbinding,x,,,,,,,
1380,I,IPI00843996,NP_003008  ,SRSF3,B4E241;P84103;B2R6F3,-5.577594748,3.10196937,-5.210736492,4.6301002033,8.6127202968,RNAbinding,x,x,x,,,,50,
424,I,IPI00022228,NP_005327,HDLBP,Q00341;B2R5V9;B4DKR8;C9JEZ8;Q5HYC5;Q6ZS03,-5.184686903,2.980464076,-5.721125518,4.6287588323,8.1670713126,RNAbinding,,,,,,,,
747,I,IPI00183626,NP_002810,PTBP1,Q9BUQ0;P26599-2;P26599;P26599-1;Q59H49;A6NLN1,-5.961642487,3.016335853,-4.877982026,4.6186534553,9.9407026702,RNAbinding,x,,x,,,,,
1233,I,IPI00514856,NP_055662 ,UBAP2L,Q14157-2;Q14157;B4DYY5,-4.997094455,3.203373455,-5.64956612,4.61667801,7.7288573933,candidate mRNA binder,,,,,,0,,
1218,I,IPI00479058,NP_001009,RPS15,P62841,-6.334214316,3.006208245,-4.500299506,4.6135740223,7.6049641043,ribosomal,,,,,,,,
1294,I,IPI00644712,NP_001460,XRCC6,P12956;B2RDN9;B1AHC9;B4DE32;B4E356;Q6IC76;B1AHC8;B1AHC7,-5.267399095,3.127237062,-5.445362036,4.613332731,8.393934773,helicase,,,,,,0,,
412,I,IPI00021692,NP_066368,MBNL1,Q9NR56-1;Q9NR56;C9JP00;B4E233;Q86VM6;Q86UV9,-5.94448224,3.141874165,-4.751892692,4.612749699,7.7734132489,RNAbinding,x,,,,,,80,
1034,I,IPI00329625,NP_004740,TBRG4,B4DU42;Q969Z0-1;Q969Z0;A4D2L2;B3KMT3;B3KRS4;C9JY22;Q969Z0-2;A4D2L3;B3KM73,-5.786034397,2.575844771,-5.468363525,4.6100808977,8.038316446,candidate mRNA binder,,,,,,0,,
1281,I,IPI00642097,NP_060564,GSPT2,Q8IYD1;B4DQM6,-6.267121285,1.881351382,-5.665733795,4.6047354873,6.1527084543,candidate mRNA binder,,,,,,,,
534,I,IPI00028276,NP_001073888,UNK,Q9C0B0,-7.498791806,2.104839838,-4.20465861,4.602763418,5.8787601325,candidate mRNA binder,,,,,,20,,
1040,I,IPI00916703,NP_056176,R3HDM1,A8K1V0;Q15032-1;Q15032;Q53SQ1;B3KXQ9;B4DLH6;Q15032-2;C9JJI1;Q4ZG59,-5.595759537,2.459300459,-5.736196362,4.5970854527,5.2540755692,candidate mRNA binder,,,,,,20,,
213,I,IPI00009328,NP_055555,EIF4A3,P38919,-5.772485634,2.802648189,-5.208814393,4.5946494053,7.9180848017,translationfactor,x,x,x,,,,,
1043,I,IPI00333996,NP_071505,TIA1,P31483-2;P31483;C9JTN7,-5.300050438,3.071711193,-5.383890773,4.585217468,7.7985441055,RNAbinding,x,,,,,,,
95,I,IPI00003377,NP_001026854,SFRS7,Q16629-1;Q16629;Q564D3;C9JAB2;Q16629-3;A6NNE8;B4DEK2;Q16629-2;Q8NB80;B4DLU6;C9J2H4,-5.611896448,2.947871841,-5.186734732,4.5821676737,8.7926712891,RNAbinding,x,x,x,,,,50,
340,I,IPI00016610,NP_006187,PCBP1,Q15365;Q53SS8,-5.778016538,3.009723385,-4.950893437,4.5795444533,8.3492784107,RNAbinding,x,,x,,,,50,
656,I,IPI00103525,NP_001035879,PSPC1,Q8WXF1-1;Q8WXF1;B4DWI8;Q8WXF1-2,-5.332294949,3.259905175,-5.146167189,4.579455771,8.4037367806,RNAbinding,x,,x,,,,20,
