UNIQUE	ID	Name	Description	HEK293-RIC	HuH7-IC	HeLa-RNPxl	HeLa-IC	HeLa-RBDmap	K562-serIC-chr	K562-serIC	Enzyme	Metabolism	"""Metabolic.Enzyme"""
ADARB2	ENSG00000185736	ADARB2	adenosine deaminase, RNA specific B2 (inactive)	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
ADD1	ENSG00000087274	ADD1	adducin 1	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
ADD3	ENSG00000148700	ADD3	adducin 3	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
ADK	ENSG00000156110	ADK	adenosine kinase	no	no	no	YES	YES	no	no	TRUE	TRUE	TRUE
AFDN	ENSG00000130396	AFDN	afadin, adherens junction formation factor	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
AFF4	ENSG00000072364	AFF4	AF4/FMR2 family member 4	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
AFP	ENSG00000081051	AFP	alpha fetoprotein	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
AGO1	ENSG00000092847	AGO1	argonaute 1, RISC catalytic component	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
AGO2	ENSG00000123908	AGO2	argonaute 2, RISC catalytic component	YES	YES	no	YES	no	no	no	TRUE	FALSE	FALSE
AGO3	ENSG00000126070	AGO3	argonaute 3, RISC catalytic component	YES	no	no	YES	YES	no	no	FALSE	FALSE	FALSE
AHCYL2	ENSG00000158467	AHCYL2	adenosylhomocysteinase like 2	no	no	no	no	YES	no	no	TRUE	FALSE	FALSE
AHNAK	ENSG00000124942	AHNAK	AHNAK nucleoprotein	no	YES	no	YES	YES	no	no	FALSE	FALSE	FALSE
AIMP1	ENSG00000164022	AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1	no	no	no	no	YES	no	no	FALSE	TRUE	FALSE
AKAP1	ENSG00000121057	AKAP1	A-kinase anchoring protein 1	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
AKAP17A	ENSG00000197976	AKAP17A	A-kinase anchoring protein 17A	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
AKAP8	ENSG00000105127	AKAP8	A-kinase anchoring protein 8	YES	YES	no	YES	no	YES	YES	FALSE	FALSE	FALSE
AKAP8L	ENSG00000011243	AKAP8L	A-kinase anchoring protein 8 like	YES	YES	no	YES	no	YES	YES	FALSE	FALSE	FALSE
ALDH18A1	ENSG00000059573	ALDH18A1	aldehyde dehydrogenase 18 family member A1	no	no	no	YES	YES	no	no	TRUE	TRUE	TRUE
ALDH6A1	ENSG00000119711	ALDH6A1	aldehyde dehydrogenase 6 family member A1	no	no	no	YES	YES	no	no	TRUE	TRUE	TRUE
ALDH7A1	ENSG00000164904	ALDH7A1	aldehyde dehydrogenase 7 family member A1	no	no	no	no	YES	no	no	TRUE	TRUE	TRUE
ALDOA	ENSG00000149925	ALDOA	aldolase, fructose-bisphosphate A	YES	no	no	no	YES	no	no	TRUE	TRUE	TRUE
ALDOC	ENSG00000109107	ALDOC	aldolase, fructose-bisphosphate C	no	no	no	no	YES	no	no	TRUE	TRUE	TRUE
ALG13	ENSG00000101901	ALG13	ALG13, UDP-N-acetylglucosaminyltransferase subunit	YES	no	no	no	no	no	no	TRUE	FALSE	FALSE
ALKBH5	ENSG00000091542	ALKBH5	alkB homolog 5, RNA demethylase	YES	YES	no	YES	no	no	YES	FALSE	FALSE	FALSE
ALYREF	ENSG00000183684	ALYREF	Aly/REF export factor	YES	YES	no	YES	YES	YES	YES	FALSE	FALSE	FALSE
ANK3	ENSG00000151150	ANK3	ankyrin 3	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
ANKHD1	ENSG00000131503	ANKHD1	ankyrin repeat and KH domain containing 1	YES	no	no	YES	no	no	no	FALSE	FALSE	FALSE
ANKRD17	ENSG00000132466	ANKRD17	ankyrin repeat domain 17	no	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
ANP32A	ENSG00000140350	ANP32A	acidic nuclear phosphoprotein 32 family member A	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
ANP32B	ENSG00000136938	ANP32B	acidic nuclear phosphoprotein 32 family member B	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
ANXA11	ENSG00000122359	ANXA11	annexin A11	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
ANXA2	ENSG00000182718	ANXA2	annexin A2	no	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
ANXA7	ENSG00000138279	ANXA7	annexin A7	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
APEH	ENSG00000164062	APEH	acylaminoacyl-peptide hydrolase	no	no	no	YES	no	no	no	TRUE	FALSE	FALSE
APEX1	ENSG00000100823	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1	YES	YES	no	no	no	no	no	TRUE	FALSE	FALSE
API5	ENSG00000166181	API5	apoptosis inhibitor 5	YES	YES	no	YES	no	YES	YES	FALSE	FALSE	FALSE
APOB	ENSG00000084674	APOB	apolipoprotein B	no	YES	no	no	no	no	no	FALSE	TRUE	FALSE
APOBEC3B	ENSG00000179750	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
APOBEC3C	ENSG00000244509	APOBEC3C	apolipoprotein B mRNA editing enzyme catalytic subunit 3C	YES	no	no	YES	no	no	no	FALSE	FALSE	FALSE
APOBEC3F	ENSG00000128394	APOBEC3F	apolipoprotein B mRNA editing enzyme catalytic subunit 3F	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
AQR	ENSG00000021776	AQR	aquarius intron-binding spliceosomal factor	YES	YES	no	YES	YES	YES	YES	FALSE	FALSE	FALSE
ARCN1	ENSG00000095139	ARCN1	archain 1	no	no	no	YES	YES	no	no	FALSE	FALSE	FALSE
ARF1	ENSG00000143761	ARF1	ADP ribosylation factor 1	YES	no	no	no	no	no	no	FALSE	TRUE	FALSE
ARHGEF1	ENSG00000076928	ARHGEF1	Rho guanine nucleotide exchange factor 1	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
ARHGEF2	ENSG00000116584	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
ARL6IP4	ENSG00000182196	ARL6IP4	ADP ribosylation factor like GTPase 6 interacting protein 4	YES	no	no	YES	no	no	no	FALSE	FALSE	FALSE
ARPC1B	ENSG00000130429	ARPC1B	actin related protein 2/3 complex subunit 1B	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
ASCC3	ENSG00000112249	ASCC3	activating signal cointegrator 1 complex subunit 3	YES	YES	no	no	no	no	no	TRUE	FALSE	FALSE
ASS1	ENSG00000130707	ASS1	argininosuccinate synthase 1	no	no	no	YES	no	no	no	TRUE	TRUE	TRUE
ATP1A1	ENSG00000163399	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	no	YES	no	no	YES	no	no	TRUE	FALSE	FALSE
ATP2A2	ENSG00000174437	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	no	YES	no	no	no	no	no	TRUE	FALSE	FALSE
ATP5A1	ENSG00000152234	ATP5A1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle	no	no	no	YES	YES	no	no	FALSE	TRUE	TRUE
ATP5B	ENSG00000110955	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	no	YES	no	no	no	no	no	TRUE	TRUE	TRUE
ATP5C1	ENSG00000165629	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	no	no	no	YES	YES	no	no	FALSE	TRUE	TRUE
ATXN2	ENSG00000204842	ATXN2	ataxin 2	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
ATXN2L	ENSG00000168488	ATXN2L	ataxin 2 like	YES	YES	no	YES	YES	no	no	FALSE	FALSE	FALSE
BAG4	ENSG00000156735	BAG4	BCL2 associated athanogene 4	YES	YES	no	no	no	no	no	FALSE	FALSE	FALSE
BASP1	ENSG00000176788	BASP1	brain abundant membrane attached signal protein 1	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
BAZ1B	ENSG00000009954	BAZ1B	bromodomain adjacent to zinc finger domain 1B	no	no	no	no	YES	no	no	TRUE	FALSE	FALSE
BCCIP	ENSG00000107949	BCCIP	BRCA2 and CDKN1A interacting protein	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
BCLAF1	ENSG00000029363	BCLAF1	BCL2 associated transcription factor 1	YES	YES	no	YES	no	YES	YES	FALSE	FALSE	FALSE
BICC1	ENSG00000122870	BICC1	BicC family RNA binding protein 1	no	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
BMS1	ENSG00000165733	BMS1	BMS1, ribosome biogenesis factor	YES	YES	no	YES	YES	YES	YES	FALSE	FALSE	FALSE
BOP1	ENSG00000261236	BOP1	block of proliferation 1	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
BRD2	ENSG00000204256	BRD2	bromodomain containing 2	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
BRIX1	ENSG00000113460	BRIX1	BRX1, biogenesis of ribosomes	YES	YES	no	YES	no	YES	no	FALSE	FALSE	FALSE
BST2	ENSG00000130303	BST2	bone marrow stromal cell antigen 2	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
BTF3	ENSG00000145741	BTF3	basic transcription factor 3	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
BUD13	ENSG00000137656	BUD13	BUD13 homolog	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
BYSL	ENSG00000112578	BYSL	bystin like	no	YES	no	YES	no	YES	YES	FALSE	FALSE	FALSE
BZW1	ENSG00000082153	BZW1	basic leucine zipper and W2 domains 1	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
BZW2	ENSG00000136261	BZW2	basic leucine zipper and W2 domains 2	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
C11orf68	ENSG00000175573	C11orf68	chromosome 11 open reading frame 68	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
C12orf43	ENSG00000157895	C12orf43	chromosome 12 open reading frame 43	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
C14orf166	ENSG00000087302	C14orf166	chromosome 14 open reading frame 166	no	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
C14orf93	ENSG00000100802	C14orf93	chromosome 14 open reading frame 93	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
C15orf52	ENSG00000188549	C15orf52	chromosome 15 open reading frame 52	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
C19orf47	ENSG00000160392	C19orf47	chromosome 19 open reading frame 47	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
C19orf66	ENSG00000130813	C19orf66	chromosome 19 open reading frame 66	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
C1orf131	ENSG00000143633	C1orf131	chromosome 1 open reading frame 131	YES	no	no	YES	no	no	no	FALSE	FALSE	FALSE
C1orf204	ENSG00000188004	C1orf204	chromosome 1 open reading frame 204	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
C1orf35	ENSG00000143793	C1orf35	chromosome 1 open reading frame 35	YES	YES	no	YES	no	no	YES	FALSE	FALSE	FALSE
C1orf52	ENSG00000162642	C1orf52	chromosome 1 open reading frame 52	no	no	no	YES	no	no	YES	FALSE	FALSE	FALSE
C2orf15	ENSG00000273045	C2orf15	chromosome 2 open reading frame 15	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
C4BPA	ENSG00000123838	C4BPA	complement component 4 binding protein alpha	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
C7orf50	ENSG00000146540	C7orf50	chromosome 7 open reading frame 50	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
CACTIN	ENSG00000105298	CACTIN	cactin, spliceosome C complex subunit	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
CACYBP	ENSG00000116161	CACYBP	calcyclin binding protein	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
CADM1	ENSG00000182985	CADM1	cell adhesion molecule 1	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CALD1	ENSG00000122786	CALD1	caldesmon 1	no	YES	no	no	YES	no	no	FALSE	FALSE	FALSE
CALR	ENSG00000179218	CALR	calreticulin	no	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
CAND1	ENSG00000111530	CAND1	cullin associated and neddylation dissociated 1	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
CANX	ENSG00000127022	CANX	calnexin	YES	YES	no	YES	YES	no	no	FALSE	FALSE	FALSE
CAPRIN1	ENSG00000135387	CAPRIN1	cell cycle associated protein 1	YES	YES	no	YES	YES	no	no	FALSE	FALSE	FALSE
CARHSP1	ENSG00000153048	CARHSP1	calcium regulated heat stable protein 1	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CASC3	ENSG00000108349	CASC3	cancer susceptibility candidate 3	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
CAST	ENSG00000153113	CAST	calpastatin	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
CAT	ENSG00000121691	CAT	catalase	no	no	no	no	YES	no	no	TRUE	FALSE	FALSE
CC2D1B	ENSG00000154222	CC2D1B	coiled-coil and C2 domain containing 1B	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CCAR1	ENSG00000060339	CCAR1	cell division cycle and apoptosis regulator 1	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
CCAR2	ENSG00000158941	CCAR2	cell cycle and apoptosis regulator 2	YES	YES	no	YES	no	YES	YES	FALSE	FALSE	FALSE
CCDC124	ENSG00000007080	CCDC124	coiled-coil domain containing 124	no	YES	no	YES	YES	no	YES	FALSE	FALSE	FALSE
CCDC137	ENSG00000185298	CCDC137	coiled-coil domain containing 137	YES	no	no	YES	no	YES	YES	FALSE	FALSE	FALSE
CCDC43	ENSG00000180329	CCDC43	coiled-coil domain containing 43	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CCDC47	ENSG00000108588	CCDC47	coiled-coil domain containing 47	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
CCDC59	ENSG00000133773	CCDC59	coiled-coil domain containing 59	no	no	no	YES	no	YES	YES	FALSE	FALSE	FALSE
CCDC86	ENSG00000110104	CCDC86	coiled-coil domain containing 86	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
CCDC9	ENSG00000105321	CCDC9	coiled-coil domain containing 9	YES	YES	no	YES	YES	no	no	FALSE	FALSE	FALSE
CCT2	ENSG00000166226	CCT2	chaperonin containing TCP1 subunit 2	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CCT3	ENSG00000163468	CCT3	chaperonin containing TCP1 subunit 3	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
CCT4	ENSG00000115484	CCT4	chaperonin containing TCP1 subunit 4	no	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
CCT6A	ENSG00000146731	CCT6A	chaperonin containing TCP1 subunit 6A	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
CD3EAP	ENSG00000117877	CD3EAP	CD3e molecule associated protein	no	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
CD44	ENSG00000026508	CD44	CD44 molecule (Indian blood group)	no	no	no	no	YES	no	no	FALSE	TRUE	FALSE
CDC40	ENSG00000168438	CDC40	cell division cycle 40	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
CDC42EP4	ENSG00000179604	CDC42EP4	CDC42 effector protein 4	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
CDC5L	ENSG00000096401	CDC5L	cell division cycle 5 like	YES	no	no	no	no	no	YES	FALSE	FALSE	FALSE
CDK11B	ENSG00000248333	CDK11B	cyclin dependent kinase 11B	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
CDK13	ENSG00000065883	CDK13	cyclin dependent kinase 13	YES	no	no	no	no	no	no	TRUE	FALSE	FALSE
CDKN2A	ENSG00000147889	CDKN2A	cyclin dependent kinase inhibitor 2A	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
CDV3	ENSG00000091527	CDV3	CDV3 homolog	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
CEBPZ	ENSG00000115816	CEBPZ	CCAAT/enhancer binding protein zeta	YES	YES	no	YES	no	YES	YES	FALSE	FALSE	FALSE
CELF1	ENSG00000149187	CELF1	CUGBP, Elav-like family member 1	YES	YES	no	YES	YES	YES	YES	FALSE	FALSE	FALSE
CELF2	ENSG00000048740	CELF2	CUGBP, Elav-like family member 2	YES	no	no	no	no	YES	YES	FALSE	FALSE	FALSE
CFAP20	ENSG00000070761	CFAP20	cilia and flagella associated protein 20	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
CFAP65	ENSG00000181378	CFAP65	cilia and flagella associated protein 65	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
CFL1	ENSG00000172757	CFL1	cofilin 1	no	YES	no	no	YES	no	no	FALSE	FALSE	FALSE
CGN	ENSG00000143375	CGN	cingulin	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CHCHD1	ENSG00000172586	CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
CHCHD3	ENSG00000106554	CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CHD2	ENSG00000173575	CHD2	chromodomain helicase DNA binding protein 2	YES	YES	no	YES	no	no	no	TRUE	FALSE	FALSE
CHD3	ENSG00000170004	CHD3	chromodomain helicase DNA binding protein 3	no	no	no	YES	no	no	no	TRUE	FALSE	FALSE
CHERP	ENSG00000085872	CHERP	calcium homeostasis endoplasmic reticulum protein	YES	YES	no	YES	no	YES	YES	FALSE	FALSE	FALSE
CHGA	ENSG00000100604	CHGA	chromogranin A	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CHMP4B	ENSG00000101421	CHMP4B	charged multivesicular body protein 4B	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CHTOP	ENSG00000160679	CHTOP	chromatin target of PRMT1	YES	YES	no	YES	YES	YES	YES	FALSE	FALSE	FALSE
CIRBP	ENSG00000099622	CIRBP	cold inducible RNA binding protein	YES	YES	no	YES	YES	YES	YES	FALSE	FALSE	FALSE
CISD1	ENSG00000122873	CISD1	CDGSH iron sulfur domain 1	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CISD2	ENSG00000145354	CISD2	CDGSH iron sulfur domain 2	no	no	no	YES	YES	no	no	FALSE	FALSE	FALSE
CKAP4	ENSG00000136026	CKAP4	cytoskeleton associated protein 4	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
CLASP2	ENSG00000163539	CLASP2	cytoplasmic linker associated protein 2	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CLK3	ENSG00000179335	CLK3	CDC like kinase 3	YES	no	no	YES	no	no	no	TRUE	FALSE	FALSE
CLNS1A	ENSG00000074201	CLNS1A	chloride nucleotide-sensitive channel 1A	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
CLTC	ENSG00000141367	CLTC	clathrin heavy chain	YES	YES	no	no	no	no	no	FALSE	TRUE	FALSE
CMSS1	ENSG00000184220	CMSS1	cms1 ribosomal small subunit homolog (yeast)	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
CNBP	ENSG00000169714	CNBP	CCHC-type zinc finger nucleic acid binding protein	YES	YES	no	YES	YES	no	YES	FALSE	FALSE	FALSE
CNDP2	ENSG00000133313	CNDP2	CNDP dipeptidase 2 (metallopeptidase M20 family)	no	no	no	no	YES	no	no	TRUE	TRUE	TRUE
CNN1	ENSG00000130176	CNN1	calponin 1	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CNN2	ENSG00000064666	CNN2	calponin 2	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
CNN3	ENSG00000117519	CNN3	calponin 3	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
CNOT1	ENSG00000125107	CNOT1	CCR4-NOT transcription complex subunit 1	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
CNOT4	ENSG00000080802	CNOT4	CCR4-NOT transcription complex subunit 4	YES	YES	no	no	no	no	no	TRUE	FALSE	FALSE
CNOT9	ENSG00000144580	CNOT9	CCR4-NOT transcription complex subunit 9	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
COA6	ENSG00000168275	COA6	cytochrome c oxidase assembly factor 6	no	no	no	YES	YES	no	no	FALSE	FALSE	FALSE
COL14A1	ENSG00000187955	COL14A1	collagen type XIV alpha 1 chain	no	no	no	YES	YES	no	no	FALSE	FALSE	FALSE
COPB1	ENSG00000129083	COPB1	coatomer protein complex subunit beta 1	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
COPG1	ENSG00000181789	COPG1	coatomer protein complex subunit gamma 1	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CORO1A	ENSG00000102879	CORO1A	coronin 1A	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
CPEB2	ENSG00000137449	CPEB2	cytoplasmic polyadenylation element binding protein 2	YES	no	no	YES	no	no	no	FALSE	FALSE	FALSE
CPEB3	ENSG00000107864	CPEB3	cytoplasmic polyadenylation element binding protein 3	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
CPEB4	ENSG00000113742	CPEB4	cytoplasmic polyadenylation element binding protein 4	YES	YES	no	YES	no	no	YES	FALSE	FALSE	FALSE
CPLX2	ENSG00000145920	CPLX2	complexin 2	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CPNE3	ENSG00000085719	CPNE3	copine 3	no	no	no	YES	no	no	no	FALSE	TRUE	FALSE
CPSF4	ENSG00000160917	CPSF4	cleavage and polyadenylation specific factor 4	YES	YES	no	no	YES	YES	YES	FALSE	FALSE	FALSE
CPSF6	ENSG00000111605	CPSF6	cleavage and polyadenylation specific factor 6	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
CPSF7	ENSG00000149532	CPSF7	cleavage and polyadenylation specific factor 7	YES	YES	no	YES	no	no	YES	FALSE	FALSE	FALSE
CRKL	ENSG00000099942	CRKL	CRK like proto-oncogene, adaptor protein	no	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
CRNKL1	ENSG00000101343	CRNKL1	crooked neck pre-mRNA splicing factor 1	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
CRYAB	ENSG00000109846	CRYAB	crystallin alpha B	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CS	ENSG00000062485	CS	citrate synthase	YES	no	no	no	no	no	no	TRUE	TRUE	TRUE
CSDE1	ENSG00000009307	CSDE1	cold shock domain containing E1	YES	YES	no	YES	YES	no	YES	FALSE	FALSE	FALSE
CSE1L	ENSG00000124207	CSE1L	chromosome segregation 1 like	no	YES	no	no	YES	no	no	FALSE	FALSE	FALSE
CSNK1E	ENSG00000213923	CSNK1E	casein kinase 1 epsilon	YES	no	no	no	no	no	no	TRUE	FALSE	FALSE
CSRP1	ENSG00000159176	CSRP1	cysteine and glycine rich protein 1	no	no	no	YES	YES	no	no	FALSE	FALSE	FALSE
CSTB	ENSG00000160213	CSTB	cystatin B	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
CSTF1	ENSG00000101138	CSTF1	cleavage stimulation factor subunit 1	YES	no	no	YES	no	no	no	FALSE	FALSE	FALSE
CSTF2	ENSG00000101811	CSTF2	cleavage stimulation factor subunit 2	YES	YES	no	YES	YES	YES	YES	FALSE	FALSE	FALSE
CSTF2T	ENSG00000177613	CSTF2T	cleavage stimulation factor subunit 2 tau variant	YES	YES	no	YES	no	YES	YES	FALSE	FALSE	FALSE
CSTF3	ENSG00000176102	CSTF3	cleavage stimulation factor subunit 3	YES	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CTNNA1	ENSG00000044115	CTNNA1	catenin alpha 1	no	no	no	YES	YES	no	no	FALSE	FALSE	FALSE
CTNND1	ENSG00000198561	CTNND1	catenin delta 1	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CTTN	ENSG00000085733	CTTN	cortactin	no	YES	no	no	YES	no	no	FALSE	FALSE	FALSE
CWC15	ENSG00000150316	CWC15	CWC15 spliceosome associated protein homolog	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
CXorf57	ENSG00000147231	CXorf57	chromosome X open reading frame 57	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
CXXC5	ENSG00000171604	CXXC5	CXXC finger protein 5	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
CYCS	ENSG00000172115	CYCS	cytochrome c, somatic	no	YES	no	no	no	no	no	FALSE	TRUE	TRUE
DAP3	ENSG00000132676	DAP3	death associated protein 3	YES	no	no	YES	no	no	no	FALSE	FALSE	FALSE
DARS	ENSG00000115866	DARS	aspartyl-tRNA synthetase	no	no	no	YES	no	no	no	TRUE	TRUE	TRUE
DARS2	ENSG00000117593	DARS2	aspartyl-tRNA synthetase 2, mitochondrial	no	YES	no	no	no	no	no	TRUE	FALSE	FALSE
