HuH7 mRNA interactome_Ensembl gene ID,HuH7 mRNA interactome_ENSEMBL Gene Name,HuH7 mRNA interactome_Entrez Gene ID,Uniprot,mRNA interactome status,average log2 fold change (cCL/control),padj cCL,average log2 fold change (PAR-CL/control),padj PAR-CL,HuH7 mRNA interactome_RNA biology status,HuH7 mRNA interactome_RBD,human mRNA interactomes_Ensembl gene ID,HeLa,HEK293,HuH7,human mRNA interactomes_ENSEMBL Gene Name,human mRNA interactomes_Entrez Gene ID,Uniprot entry,human mRNA interactomes_RNA biology status,human mRNA interactomes_RBD,enigmRBP,"""classical"" metablic enzyme",EC number,EC class,"Conserved ""core"" RBP",InParanoid Cluster ID,Uniprot ID,Organism
ENSG00000125944,HNRNPR,10236,O43390,mRNA interactome,6.176068,0.0002009072,4.4972283333,0.0018583042,linked,recognized,ENSG00000125944,mRNA interactome,mRNA interactome,mRNA interactome,HNRNPR,10236,O43390,linked,recognized,,,,,,,,
ENSG00000171861,RNMTL1,55178,Q9HC36,mRNA interactome,6.158062,0.0064924599,,,linked,recognized,ENSG00000171861,mRNA interactome,mRNA interactome,mRNA interactome,RNMTL1,55178,Q9HC36,linked,recognized,,,,,,,,
ENSG00000112081,SRSF3,6428,P84103,mRNA interactome,6.1580083333,0.0002022734,6.5729983333,0.0004385888,linked,recognized,ENSG00000112081,mRNA interactome,mRNA interactome,mRNA interactome,SRSF3,6428,P84103,linked,recognized,,,,,,,,
ENSG00000071082,RPL31,6160,P62899,mRNA interactome,6.0946833333,0.0002009072,4.583323,0.0025048403,linked,unknown,ENSG00000071082,mRNA interactome,no evidence,mRNA interactome,RPL31,6160,P62899,linked,unknown,,,,,core,1306,P62899,H.sapiens
ENSG00000063046,EIF4B,1975,P23588,mRNA interactome,6.0889286667,0.0002009072,5.185369,0.000846643,linked,recognized,ENSG00000063046,mRNA interactome,mRNA interactome,mRNA interactome,EIF4B,1975,P23588,linked,recognized,,,,,,,,
ENSG00000100941,PNN,5411,Q9H307,mRNA interactome,6.0883063333,0.0002125771,4.5250836667,0.000622632,linked,recognized,ENSG00000100941,mRNA interactome,mRNA interactome,mRNA interactome,PNN,5411,Q9H307,linked,recognized,,,,,,,,
ENSG00000090621,PABPC4,8761,Q13310,mRNA interactome,6.0743486667,0.0002009072,6.092849,0.0004385888,linked,recognized,ENSG00000090621,mRNA interactome,mRNA interactome,mRNA interactome,PABPC4,8761,Q13310,linked,recognized,,,,,core,245,Q13310,H.sapiens
ENSG00000131018,SYNE1,23345,Q8NF91,mRNA interactome,6.0676563333,0.0002278172,6.3805216667,0.0007896011,unknown,recognized,ENSG00000131018,mRNA interactome,mRNA interactome,mRNA interactome,SYNE1,23345,Q8NF91,unknown,recognized,,,,,,,,
ENSG00000070756,PABPC1,26986,P11940,mRNA interactome,6.0154693333,0.0002009072,6.05885,0.0004385888,linked,recognized,ENSG00000070756,mRNA interactome,mRNA interactome,mRNA interactome,PABPC1,26986,P11940,linked,recognized,,,,,core,245,P11940,H.sapiens
ENSG00000066044,ELAVL1,1994,Q15717,mRNA interactome,6.010136,0.0002009072,5.8392016667,0.0004385888,linked,recognized,ENSG00000066044,mRNA interactome,mRNA interactome,mRNA interactome,ELAVL1,1994,Q15717,linked,recognized,,,,,core,1685,Q15717,H.sapiens
ENSG00000008988,RPS20,6224,P60866,mRNA interactome,5.9870236667,0.0002009072,3.3977953333,0.0015027867,linked,unknown,ENSG00000008988,mRNA interactome,mRNA interactome,mRNA interactome,RPS20,6224,P60866,linked,unknown,,,,,core,1351,P60866,H.sapiens
ENSG00000171863,RPS7,6201,P62081,mRNA interactome,5.9518396667,0.0002009072,4.0250656667,0.0019112191,linked,unknown,ENSG00000171863,mRNA interactome,mRNA interactome,mRNA interactome,RPS7,6201,P62081,linked,unknown,,,,,core,958,P62081,H.sapiens
ENSG00000165119,HNRNPK,3190,P61978,mRNA interactome,5.9402556667,0.0002009072,5.8235053333,0.0004385888,linked,recognized,ENSG00000165119,mRNA interactome,mRNA interactome,mRNA interactome,HNRNPK,3190,P61978,linked,recognized,,,,,core,1463,P61978,H.sapiens
ENSG00000111641,NOP2,4839,P46087,mRNA interactome,5.936922,0.0007065626,3.473489,0.0038247941,linked,recognized,ENSG00000111641,mRNA interactome,mRNA interactome,mRNA interactome,NOP2,4839,P46087,linked,recognized,,,,,core,243,P46087,H.sapiens
ENSG00000149273,RPS3,6188,P23396,mRNA interactome,5.798227,0.0002009072,5.27332,0.0005984129,linked,recognized,ENSG00000149273,mRNA interactome,mRNA interactome,mRNA interactome,RPS3,6188,P23396,linked,recognized,,,,,core,551,P23396,H.sapiens
ENSG00000138757,G3BP2,9908,Q9UN86,mRNA interactome,5.796237,0.0003660283,4.829248,0.0017729298,linked,recognized,ENSG00000138757,mRNA interactome,mRNA interactome,mRNA interactome,G3BP2,9908,Q9UN86,linked,recognized,,,,,,,,
ENSG00000159217,IGF2BP1,10642,Q9NZI8,mRNA interactome,5.7508193333,0.0002009072,5.9696656667,0.0004385888,linked,recognized,ENSG00000159217,mRNA interactome,mRNA interactome,mRNA interactome,IGF2BP1,10642,Q9NZI8,linked,recognized,,,,,,,,
ENSG00000105202,FBL,2091,P22087,mRNA interactome,5.7470825,0.0005738313,4.5804506667,0.0012612458,linked,recognized,ENSG00000105202,mRNA interactome,mRNA interactome,mRNA interactome,FBL,2091,P22087,linked,recognized,,,,,,,,
ENSG00000138668,HNRNPD,3184,Q14103,mRNA interactome,5.7216516667,0.0003460078,5.8370006667,0.0004783454,linked,recognized,ENSG00000138668,mRNA interactome,mRNA interactome,mRNA interactome,HNRNPD,3184,Q14103,linked,recognized,,,,,core,1129,Q14103,H.sapiens
ENSG00000138095,LRPPRC,10128,P42704,mRNA interactome,5.683482,0.0002009072,5.7951573333,0.0004385888,linked,recognized,ENSG00000138095,mRNA interactome,mRNA interactome,mRNA interactome,LRPPRC,10128,P42704,linked,recognized,,,,,,,,
ENSG00000099622,CIRBP,1153,Q14011,mRNA interactome,5.6755276667,0.0003728205,5.046135,0.0007163917,linked,recognized,ENSG00000099622,mRNA interactome,mRNA interactome,mRNA interactome,CIRBP,1153,Q14011,linked,recognized,,,,,,,,
ENSG00000119705,SLIRP,81892,Q9GZT3,mRNA interactome,5.6689406667,0.0002009072,4.844082,0.0004826102,linked,recognized,ENSG00000119705,mRNA interactome,mRNA interactome,mRNA interactome,SLIRP,81892,Q9GZT3,linked,recognized,,,,,,,,
ENSG00000115053,NCL,4691,P19338,mRNA interactome,5.661714,0.0002009072,4.324002,0.0034258486,linked,recognized,ENSG00000115053,mRNA interactome,mRNA interactome,mRNA interactome,NCL,4691,P19338,linked,recognized,,,,,,,,
ENSG00000161547,SRSF2,6427,Q01130,mRNA interactome,5.6034643333,0.0002208101,4.8864716667,0.0004709074,linked,recognized,ENSG00000161547,mRNA interactome,mRNA interactome,mRNA interactome,SRSF2,6427,Q01130,linked,recognized,,,,,,,,
ENSG00000088247,KHSRP,8570,Q92945,mRNA interactome,5.60066,0.0002009072,5.686187,0.0004385888,linked,recognized,ENSG00000088247,mRNA interactome,mRNA interactome,mRNA interactome,KHSRP,8570,Q92945,linked,recognized,,,,,,,,
ENSG00000148584,A1CF,29974,Q9NQ94,mRNA interactome,5.595227,0.0002009072,5.2058203333,0.0004385888,linked,recognized,ENSG00000148584,no evidence,no evidence,mRNA interactome,A1CF,29974,Q9NQ94,linked,recognized,,,,,,,,
ENSG00000177733,HNRNPA0,10949,Q13151,mRNA interactome,5.5656353333,0.0002009072,4.949754,0.0004385888,linked,recognized,ENSG00000177733,mRNA interactome,mRNA interactome,mRNA interactome,HNRNPA0,10949,Q13151,linked,recognized,,,,,,,,
ENSG00000152795,HNRNPDL,9987,O14979,mRNA interactome,5.5432536667,0.0002009072,5.8630563333,0.0004385888,linked,recognized,ENSG00000152795,mRNA interactome,mRNA interactome,mRNA interactome,HNRNPDL,9987,O14979,linked,recognized,,,,,core,1129,O14979,H.sapiens
ENSG00000039123,SKIV2L2,23517,P42285,mRNA interactome,5.5374305,0.0003710763,0.9526945,0.2441078909,linked,recognized,ENSG00000039123,mRNA interactome,no evidence,mRNA interactome,SKIV2L2,23517,P42285,linked,recognized,,,,,core,26,P42285,H.sapiens
ENSG00000136450,SRSF1,6426,Q07955,mRNA interactome,5.5309563333,0.0002009072,5.9317683333,0.0004385888,linked,recognized,ENSG00000136450,mRNA interactome,mRNA interactome,mRNA interactome,SRSF1,6426,Q07955,linked,recognized,,,,,,,,
ENSG00000197111,PCBP2,5094,Q15366,mRNA interactome,5.5262853333,0.0003478532,5.3561643333,0.0004385888,linked,recognized,ENSG00000197111,mRNA interactome,mRNA interactome,mRNA interactome,PCBP2,5094,Q15366,linked,recognized,,,,,core,1463,Q15366,H.sapiens
ENSG00000073792,IGF2BP2,10644,Q9Y6M1,mRNA interactome,5.524642,0.0002009072,5.5957336667,0.0004385888,linked,recognized,ENSG00000073792,mRNA interactome,mRNA interactome,mRNA interactome,IGF2BP2,10644,Q9Y6M1,linked,recognized,,,,,,,,
ENSG00000140988,RPS2,6187,P15880,mRNA interactome,5.470582,0.0002009072,4.7172793333,0.0007593762,linked,recognized,ENSG00000140988,mRNA interactome,mRNA interactome,mRNA interactome,RPS2,6187,P15880,linked,recognized,,,,,core,618,P15880,H.sapiens
ENSG00000145907,G3BP1,10146,Q13283,mRNA interactome,5.4510456667,0.0002009072,5.3491463333,0.0004385888,linked,recognized,ENSG00000145907,mRNA interactome,mRNA interactome,mRNA interactome,G3BP1,10146,Q13283,linked,recognized,,,,,,,,
ENSG00000065978,YBX1,4904,P67809,mRNA interactome,5.4245083333,0.0002022734,4.8167773333,0.0004783454,linked,unknown,ENSG00000065978,mRNA interactome,mRNA interactome,mRNA interactome,YBX1,4904,P67809,linked,unknown,,,,,,,,
ENSG00000100650,SRSF5,6430,Q13243,mRNA interactome,5.403007,0.0002217375,5.168431,0.0004385888,linked,recognized,ENSG00000100650,mRNA interactome,mRNA interactome,mRNA interactome,SRSF5,6430,Q13243,linked,recognized,,,,,,,,
ENSG00000116001,TIA1,7072,P31483,mRNA interactome,5.3894493333,0.0002009072,4.8414163333,0.0004783454,linked,recognized,ENSG00000116001,mRNA interactome,mRNA interactome,mRNA interactome,TIA1,7072,P31483,linked,recognized,,,,,core,1425,P31483,H.sapiens
ENSG00000135316,SYNCRIP,10492,O60506,mRNA interactome,5.3846293333,0.0002009072,5.5354356667,0.0004385888,linked,recognized,ENSG00000135316,mRNA interactome,mRNA interactome,mRNA interactome,SYNCRIP,10492,O60506,linked,recognized,,,,,,,,
ENSG00000116251,RPL22,6146,P35268,mRNA interactome,5.367018,0.0002009072,4.7733173333,0.0004512247,linked,unknown,ENSG00000116251,mRNA interactome,mRNA interactome,mRNA interactome,RPL22,6146,P35268,linked,unknown,,,,,core,1441,P35268,H.sapiens
ENSG00000120948,TARDBP,23435,Q13148,mRNA interactome,5.3561756667,0.0002009072,4.7651056667,0.0004385888,linked,recognized,ENSG00000120948,mRNA interactome,mRNA interactome,mRNA interactome,TARDBP,23435,Q13148,linked,recognized,,,,,,,,
ENSG00000187772,LIN28B,389421,Q6ZN17,mRNA interactome,5.3483803333,0.0002009072,5.152938,0.0004385888,linked,unknown,ENSG00000187772,no evidence,mRNA interactome,mRNA interactome,LIN28B,389421,Q6ZN17,linked,unknown,,,,,,,,
ENSG00000197451,HNRNPAB,3182,Q99729,mRNA interactome,5.3357676667,0.0002009072,5.549733,0.0004385888,linked,recognized,ENSG00000197451,mRNA interactome,mRNA interactome,mRNA interactome,HNRNPAB,3182,Q99729,linked,recognized,,,,,core,1129,Q99729,H.sapiens
ENSG00000113387,SUB1,10923,P53999,mRNA interactome,5.335615,0.0005324734,4.53134,0.0005114115,linked,unknown,ENSG00000113387,mRNA interactome,mRNA interactome,mRNA interactome,SUB1,10923,P53999,linked,unknown,,,,,,,,
ENSG00000009307,CSDE1,7812,O75534,mRNA interactome,5.3324546667,0.0002009072,4.881601,0.0004709074,linked,unknown,ENSG00000009307,mRNA interactome,mRNA interactome,mRNA interactome,CSDE1,7812,O75534,linked,unknown,,,,,,,,
ENSG00000183570,PCBP3,54039,P57721,mRNA interactome,5.3281286667,0.0002009072,4.8681273333,0.0009195575,linked,recognized,ENSG00000183570,mRNA interactome,no evidence,mRNA interactome,PCBP3,54039,P57721,linked,recognized,,,,,core,1463,P57721,H.sapiens
ENSG00000130811,EIF3G,8666,O75821,mRNA interactome,5.3188273333,0.0002009072,5.3608093333,0.0004385888,linked,recognized,ENSG00000130811,mRNA interactome,mRNA interactome,mRNA interactome,EIF3G,8666,O75821,linked,recognized,,,,,core,1273,O75821,H.sapiens
ENSG00000086589,RBM22,55696,Q9NW64,mRNA interactome,5.3069713333,0.0011243488,4.10568,0.0018081771,linked,recognized,ENSG00000086589,mRNA interactome,mRNA interactome,mRNA interactome,RBM22,55696,Q9NW64,linked,recognized,,,,,,,,
ENSG00000197157,SND1,27044,Q7KZF4,mRNA interactome,5.291457,0.0002009072,5.6970833333,0.0004385888,linked,recognized,ENSG00000197157,mRNA interactome,mRNA interactome,mRNA interactome,SND1,27044,Q7KZF4,linked,recognized,,,,,,,,
ENSG00000116918,TSNAX,7257,Q99598,mRNA interactome,5.286126,0.0009485203,7.0403615,0.0115770515,unknown,unknown,ENSG00000116918,no evidence,mRNA interactome,mRNA interactome,TSNAX,7257,Q99598,unknown,unknown,yes,,,,,,,
ENSG00000198242,RPL23A,6147,P62750,mRNA interactome,5.2707315,0.0005790362,4.662908,0.0014794815,linked,recognized,ENSG00000198242,mRNA interactome,mRNA interactome,mRNA interactome,RPL23A,6147,P62750,linked,recognized,,,,,core,1073,P62750,H.sapiens
ENSG00000104824,HNRNPL,3191,P14866,mRNA interactome,5.261469,0.0002597925,5.777929,0.0004385888,linked,recognized,ENSG00000104824,mRNA interactome,mRNA interactome,mRNA interactome,HNRNPL,3191,P14866,linked,recognized,,,,,,,,
ENSG00000059378,PARP12,64761,Q9H0J9,mRNA interactome,5.254118,0.0009747072,,,unknown,unknown,ENSG00000059378,mRNA interactome,no evidence,mRNA interactome,PARP12,64761,Q9H0J9,unknown,unknown,yes,,,,,,,
ENSG00000005007,UPF1,5976,Q92900,mRNA interactome,5.2512866667,0.0002009072,4.979466,0.0004444611,linked,recognized,ENSG00000005007,mRNA interactome,mRNA interactome,mRNA interactome,UPF1,5976,Q92900,linked,recognized,,,,,core,41,Q92900,H.sapiens
ENSG00000071626,DAZAP1,26528,Q96EP5,mRNA interactome,5.2364346667,0.0002009072,5.011549,0.0004385888,linked,recognized,ENSG00000071626,mRNA interactome,mRNA interactome,mRNA interactome,DAZAP1,26528,Q96EP5,linked,recognized,,,,,,,,
ENSG00000122566,HNRNPA2B1,3181,P22626,mRNA interactome,5.227614,0.0002009072,5.031774,0.0004385888,linked,recognized,ENSG00000122566,mRNA interactome,mRNA interactome,mRNA interactome,HNRNPA2B1,3181,P22626,linked,recognized,,,,,,,,
ENSG00000160201,U2AF1,7307,Q01081,mRNA interactome,5.2231885,0.000813666,3.8624376667,0.0050820791,linked,recognized,ENSG00000160201,mRNA interactome,mRNA interactome,mRNA interactome,U2AF1,7307,Q01081,linked,recognized,,,,,,,,
ENSG00000060138,YBX3,8531,P16989,mRNA interactome,5.2203996667,0.0002009072,5.3516293333,0.0004385888,linked,unknown,ENSG00000060138,mRNA interactome,mRNA interactome,mRNA interactome,YBX3,8531,P16989,linked,unknown,,,,,,,,
ENSG00000179950,PUF60,22827,Q9UHX1,mRNA interactome,5.2116123333,0.0002009072,3.9113656667,0.0007351263,linked,recognized,ENSG00000179950,mRNA interactome,mRNA interactome,mRNA interactome,PUF60,22827,Q9UHX1,linked,recognized,,,,,,,,
ENSG00000156482,RPL30,6156,P62888,mRNA interactome,5.1831306667,0.0002009072,3.1809233333,0.0039004608,linked,unknown,ENSG00000156482,mRNA interactome,mRNA interactome,mRNA interactome,RPL30,6156,P62888,linked,unknown,,,,,core,1372,P62888,H.sapiens
ENSG00000136231,IGF2BP3,10643,O00425,mRNA interactome,5.1819776667,0.0002009072,5.3252716667,0.0004385888,linked,recognized,ENSG00000136231,mRNA interactome,mRNA interactome,mRNA interactome,IGF2BP3,10643,O00425,linked,recognized,,,,,,,,
ENSG00000153250,RBMS1,5937,P29558,mRNA interactome,5.1784686667,0.0002009072,3.1877083333,0.0019790087,linked,recognized,ENSG00000153250,mRNA interactome,mRNA interactome,mRNA interactome,RBMS1,5937,P29558,linked,recognized,,,,,,,,
ENSG00000115677,HDLBP,3069,Q00341,mRNA interactome,5.1686223333,0.0002009072,4.9519263333,0.0004512247,linked,recognized,ENSG00000115677,mRNA interactome,mRNA interactome,mRNA interactome,HDLBP,3069,Q00341,linked,recognized,,,,,core,922,Q00341,H.sapiens
ENSG00000163694,RBM47,54502,A0AV96,mRNA interactome,5.1665046667,0.0002009072,4.1718603333,0.0007051887,linked,recognized,ENSG00000163694,mRNA interactome,mRNA interactome,mRNA interactome,RBM47,54502,A0AV96,linked,recognized,,,,,,,,
ENSG00000160679,CHTOP,26097,Q9Y3Y2,mRNA interactome,5.1575595,0.0005530274,4.3392715,0.0025765152,linked,unknown,ENSG00000160679,mRNA interactome,mRNA interactome,mRNA interactome,CHTOP,26097,Q9Y3Y2,linked,unknown,,,,,,,,
ENSG00000132819,RBM38,55544,Q9H0Z9,mRNA interactome,5.1462686667,0.0002009072,4.574556,0.0005984129,linked,recognized,ENSG00000132819,mRNA interactome,mRNA interactome,mRNA interactome,RBM38,55544,Q9H0Z9,linked,recognized,,,,,,,,
ENSG00000162613,FUBP1,8880,Q96AE4,mRNA interactome,5.144673,0.0002009072,5.384668,0.0004385888,linked,recognized,ENSG00000162613,mRNA interactome,mRNA interactome,mRNA interactome,FUBP1,8880,Q96AE4,linked,recognized,,,,,,,,
ENSG00000065548,ZC3H15,55854,Q8WU90,mRNA interactome,5.1386355,0.0004569215,,,unknown,unknown,ENSG00000065548,mRNA interactome,mRNA interactome,mRNA interactome,ZC3H15,55854,Q8WU90,unknown,unknown,yes,,,,core,768,Q8WU90,H.sapiens
ENSG00000100316,RPL3,6122,P39023,mRNA interactome,5.133262,0.0006156659,4.110373,0.0022979131,linked,unknown,ENSG00000100316,mRNA interactome,mRNA interactome,mRNA interactome,RPL3,6122,P39023,linked,unknown,,,,,core,197,P39023,H.sapiens
ENSG00000239306,RBM14,10432,Q96PK6,mRNA interactome,5.132108,0.0002009072,4.8097506667,0.0004385888,linked,recognized,ENSG00000239306,mRNA interactome,mRNA interactome,mRNA interactome,RBM14,10432,Q96PK6,linked,recognized,,,,,,,,
ENSG00000171490,RSL1D1,26156,O76021,mRNA interactome,5.1315913333,0.0004666762,5.9990956667,0.0004385888,linked,unknown,ENSG00000171490,mRNA interactome,mRNA interactome,mRNA interactome,RSL1D1,26156,O76021,linked,unknown,,,,,,,,
ENSG00000076770,MBNL3,55796,Q9NUK0,mRNA interactome,5.1207363333,0.0002009072,,,linked,unknown,ENSG00000076770,mRNA interactome,mRNA interactome,mRNA interactome,MBNL3,55796,Q9NUK0,linked,unknown,,,,,,,,
ENSG00000116560,SFPQ,6421,P23246,mRNA interactome,5.1156316667,0.0002009072,5.703,0.0004385888,linked,recognized,ENSG00000116560,mRNA interactome,mRNA interactome,mRNA interactome,SFPQ,6421,P23246,linked,recognized,,,,,core,1721,P23246,H.sapiens
ENSG00000187240,DYNC2H1,79659,Q8NCM8,mRNA interactome,5.1019045,0.0017352951,,,unknown,unknown,ENSG00000187240,no evidence,no evidence,mRNA interactome,DYNC2H1,79659,Q8NCM8,unknown,unknown,yes,,,,,,,
ENSG00000166181,API5,8539,Q9BZZ5,mRNA interactome,5.1002683333,0.0002009072,5.1205826667,0.0004385888,linked,unknown,ENSG00000166181,mRNA interactome,mRNA interactome,mRNA interactome,API5,8539,Q9BZZ5,linked,unknown,,,,,,,,
ENSG00000099783,HNRNPM,4670,P52272,mRNA interactome,5.0954016667,0.0002009072,5.384253,0.0004385888,linked,recognized,ENSG00000099783,mRNA interactome,mRNA interactome,mRNA interactome,HNRNPM,4670,P52272,linked,recognized,,,,,,,,
ENSG00000142676,RPL11,6135,P62913,mRNA interactome,5.08744,0.0005221884,2.3218121333,0.0228748531,linked,unknown,ENSG00000142676,no evidence,mRNA interactome,mRNA interactome,RPL11,6135,P62913,linked,unknown,,,,,core,730,P62913,H.sapiens
ENSG00000136270,TBRG4,9238,Q969Z0,mRNA interactome,5.069661,0.0002022734,4.869811,0.0004385888,unknown,recognized,ENSG00000136270,mRNA interactome,mRNA interactome,mRNA interactome,TBRG4,9238,Q969Z0,unknown,recognized,,,,,,,,
ENSG00000155636,RBM45,129831,Q8IUH3,mRNA interactome,5.066928,0.0002427152,3.2194786667,0.0052939892,linked,recognized,ENSG00000155636,mRNA interactome,mRNA interactome,mRNA interactome,RBM45,129831,Q8IUH3,linked,recognized,,,,,,,,
ENSG00000105640,RPL18A,6142,Q02543,mRNA interactome,5.0611135,0.0006349194,4.2469865,0.0032062846,linked,unknown,ENSG00000105640,mRNA interactome,mRNA interactome,mRNA interactome,RPL18A,6142,Q02543,linked,unknown,,,,,core,1011,Q02543,H.sapiens
ENSG00000149187,CELF1,10658,Q92879,mRNA interactome,5.0510943333,0.0002009072,5.3025116667,0.0004748167,linked,recognized,ENSG00000149187,mRNA interactome,mRNA interactome,mRNA interactome,CELF1,10658,Q92879,linked,recognized,,,,,core,1685,Q92879,H.sapiens
ENSG00000138385,SSB,6741,P05455,mRNA interactome,5.049846,0.0002231736,4.061406,0.0010725811,linked,recognized,ENSG00000138385,mRNA interactome,mRNA interactome,mRNA interactome,SSB,6741,P05455,linked,recognized,,,,,,,,
ENSG00000135387,CAPRIN1,4076,Q14444,mRNA interactome,5.0329386667,0.0003661219,5.7445433333,0.0004783454,linked,recognized,ENSG00000135387,mRNA interactome,mRNA interactome,mRNA interactome,CAPRIN1,4076,Q14444,linked,recognized,,,,,,,,
ENSG00000124214,STAU1,6780,O95793,mRNA interactome,5.031908,0.0002009072,4.5580816667,0.0009899862,linked,recognized,ENSG00000124214,no evidence,mRNA interactome,mRNA interactome,STAU1,6780,O95793,linked,recognized,,,,,,,,
ENSG00000143621,ILF2,3608,Q12905,mRNA interactome,5.0294126667,0.0002009072,5.65613,0.0004385888,linked,recognized,ENSG00000143621,mRNA interactome,mRNA interactome,mRNA interactome,ILF2,3608,Q12905,linked,recognized,,,,,,,,
ENSG00000142864,SERBP1,26135,Q8NC51,mRNA interactome,5.0271643333,0.0002009072,4.8370646667,0.0004783454,linked,recognized,ENSG00000142864,mRNA interactome,mRNA interactome,mRNA interactome,SERBP1,26135,Q8NC51,linked,recognized,,,,,,,,
ENSG00000142534,RPS11,6205,P62280,mRNA interactome,5.0123735,0.0009458817,3.8188955,0.004414894,linked,unknown,ENSG00000142534,mRNA interactome,no evidence,mRNA interactome,RPS11,6205,P62280,linked,unknown,,,,,core,,,
ENSG00000170144,HNRNPA3,220988,P51991,mRNA interactome,5.0108563333,0.0002009072,4.4979076667,0.0004783454,linked,recognized,ENSG00000170144,mRNA interactome,mRNA interactome,mRNA interactome,HNRNPA3,220988,P51991,linked,recognized,,,,,core,1129,P51991,H.sapiens
ENSG00000177764,ZCCHC3,85364,Q9NUD5,mRNA interactome,5.009524,0.0002009072,4.6287526667,0.0004512247,unknown,unknown,ENSG00000177764,mRNA interactome,mRNA interactome,mRNA interactome,ZCCHC3,85364,Q9NUD5,unknown,unknown,yes,,,,,,,
ENSG00000111786,SRSF9,8683,Q13242,mRNA interactome,5.0086896667,0.0002009072,4.9736146667,0.0004385888,linked,recognized,ENSG00000111786,mRNA interactome,mRNA interactome,mRNA interactome,SRSF9,8683,Q13242,linked,recognized,,,,,,,,
ENSG00000106682,EIF4H,7458,Q15056,mRNA interactome,4.9989116667,0.0002009072,5.524705,0.0004385888,linked,recognized,ENSG00000106682,mRNA interactome,mRNA interactome,mRNA interactome,EIF4H,7458,Q15056,linked,recognized,,,,,,,,
ENSG00000138326,RPS24,6229,P62847,mRNA interactome,4.997403,0.0004956441,,,linked,unknown,ENSG00000138326,mRNA interactome,mRNA interactome,mRNA interactome,RPS24,6229,P62847,linked,unknown,,,,,core,1216,P62847,H.sapiens
ENSG00000131469,RPL27,6155,P61353,mRNA interactome,4.992122,0.0005790362,,,linked,unknown,ENSG00000131469,mRNA interactome,mRNA interactome,mRNA interactome,RPL27,6155,P61353,linked,unknown,,,,,core,1140,P61353,H.sapiens
