Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q8ZQM4	GSIA_SALTY	reviewed	Glutathione import ATP-binding protein GsiA (EC 3.6.3.-)	gsiA STM0848	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	623
Q8ZQM3	GSIB_SALTY	reviewed	Glutathione-binding protein GsiB	gsiB STM0849	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	512
Q8ZQM2	GSIC_SALTY	reviewed	Glutathione transport system permease protein GsiC	gsiC STM0850	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	306
Q7CQV4	GSID_SALTY	reviewed	Glutathione transport system permease protein GsiD	gsiD STM0851	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	303
Q7CPU5	E4PD_SALTY	reviewed	D-erythrose-4-phosphate dehydrogenase (E4PDH) (EC 1.2.1.72)	epd STM3070	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	348
P40817	DPAL_SALTY	reviewed	Diaminopropionate ammonia-lyase (DAPAL) (EC 4.3.1.15) (2,3-diaminopropionate ammonia-lyase) (Alpha,beta-diaminopropionate ammonia-lyase) (Diaminopropionatase)	dpaL STM1002	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	404
P26464	DPO3B_SALTY	reviewed	Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit) (DNA polymerase III subunit beta)	dnaN STM3837	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	366
P0A1H5	EFTU_SALTY	reviewed	Elongation factor Tu (EF-Tu)	tufA STM3445; tufB STM4146 STMF1.4	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	394
P64046	EFPL_SALTY	reviewed	Elongation factor P-like protein	yeiP STM2211	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	190
P64036	EFP_SALTY	reviewed	Elongation factor P (EF-P)	efp STM4334	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	188
P63993	DSBB_SALTY	reviewed	Disulfide bond formation protein B (Disulfide oxidoreductase)	dsbB STM1807	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	176
Q56072	EAMA_SALTY	reviewed	Probable amino-acid metabolite efflux pump	eamA STM1517	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	299
Q8ZNH4	ECOT_SALTY	reviewed	Ecotin	eco STM2262	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	164
Q8ZR29	ENTH_SALTY	reviewed	Proofreading thioesterase EntH (EC 3.1.2.-) (Enterobactin synthase component H)	entH STM0599	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	137
Q56030	ENVE_SALTY	reviewed	Probable lipoprotein EnvE	envE STM1242	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	173
Q56057	ERA_SALTY	reviewed	GTPase Era	era STM2580	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	301
P19265	EUTC_SALTY	reviewed	Ethanolamine ammonia-lyase light chain (EC 4.3.1.7) (Ethanolamine ammonia-lyase small subunit)	eutC STM2457	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	298
Q8ZMC6	FUCI_SALTY	reviewed	L-fucose isomerase (EC 5.3.1.25) (6-deoxy-L-galactose isomerase) (FucIase)	fucI STM2976	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	591
Q8ZPL7	FUMC_SALTY	reviewed	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase)	fumC STM1469	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	467
P64209	GCH1_SALTY	reviewed	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	folE STM2193	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	222
Q8ZR41	GCS2_SALTY	reviewed	Putative glutamate--cysteine ligase 2 (EC 6.3.2.2) (Gamma-glutamylcysteine synthetase 2) (GCS 2) (Gamma-GCS 2)	ybdK STM0583	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	372
Q9F7A2	GMM_SALTY	reviewed	GDP-mannose mannosyl hydrolase (GDPMH) (EC 3.6.1.-)	gmm nudD wcaH STM2107	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	157
Q8ZLI8	GNTX_SALTY	reviewed	DNA utilization protein YhgH (Protein GntX)	gntX STM3510	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	227
P33321	IF3_SALTY	reviewed	Translation initiation factor IF-3	infC STM1334	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	180
P26353	HMP_SALTY	reviewed	Flavohemoprotein (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD) (EC 1.14.12.17)	hmp frsB hmpA STM2556	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	396
Q8ZQ51	HPAC_SALTY	reviewed	4-hydroxyphenylacetate 3-monooxygenase reductase component (EC 1.5.1.36) (4-HPA 3-monooxygenase small component) (Flavin:NADH reductase)	hpaC STM1098	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	170
Q8ZQ47	HPCH_SALTY	reviewed	4-hydroxy-2-oxo-heptane-1,7-dioate aldolase (EC 4.1.2.52) (2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase) (HHED aldolase) (4-hydroxy-2-ketoheptane-1,7-dioate aldolase) (HKHD aldolase)	hpcH hpaI STM1106	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	263
Q8ZQR1	HUTG_SALTY	reviewed	Formimidoylglutamase (EC 3.5.3.8) (Formiminoglutamase) (Formiminoglutamate hydrolase)	hutG STM0788	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	313
Q7CQV5	IAAA_SALTY	reviewed	Isoaspartyl peptidase (EC 3.4.19.5) (Beta-aspartyl-peptidase) (Isoaspartyl dipeptidase) [Cleaved into: Isoaspartyl peptidase subunit alpha; Isoaspartyl peptidase subunit beta]	iaaA STM0847	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	313
P0CL15	IAGB_SALTY	reviewed	Invasion protein iagB	iagB STM2877	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	160
P10372	HIS4_SALTY	reviewed	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	hisA STM2076	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	245
Q8ZQR2	HUTI_SALTY	reviewed	Imidazolonepropionase (EC 3.5.2.7) (Imidazolone-5-propionate hydrolase)	hutI STM0787	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	407
P64419	HYPA_SALTY	reviewed	Hydrogenase maturation factor HypA	hypA STM2854	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	118
P26983	HPF_SALTY	reviewed	Ribosome hibernation promoting factor (HPF) (Hibernation factor HPF)	hpf STM3321	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	95
Q8ZQQ9	HUTH_SALTY	reviewed	Histidine ammonia-lyase (Histidase) (EC 4.3.1.3)	hutH STM0791	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	506
P58480	HTPG_SALTY	reviewed	Chaperone protein HtpG (Heat shock protein HtpG) (High temperature protein G)	htpG STM0487	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	624
P0CL00	IACP_SALTY	reviewed	Probable acyl carrier protein IacP (ACP)	iacP STM2881	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	82
Q8ZN42	HSCA_SALTY	reviewed	Chaperone protein HscA (Hsc66)	hscA STM2539	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	616
Q7CQT0	HSPQ_SALTY	reviewed	Heat shock protein HspQ	hspQ STM1079	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	105
Q7CPF1	IBPA_SALTY	reviewed	Small heat shock protein IbpA (16 kDa heat shock protein A)	ibpA STM3809	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	137
Q8ZPD3	MDDA_SALTY	reviewed	L-methionine sulfoximine/L-methionine sulfone acetyltransferase (EC 2.3.1.-) (L-amino acid N-acyltransferase) (EC 2.3.1.-) (Methionine derivative detoxifier A) (MDDA)	yncA STM1590	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	171
Q8ZL03	IBPB_SALTY	reviewed	Small heat shock protein IbpB (16 kDa heat shock protein B)	ibpB STM3808	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	142
P0A1S2	HNS_SALTY	reviewed	DNA-binding protein H-NS (Histone-like protein HLP-II) (Protein B1) (Protein H1)	hns hnsA osmZ STM1751	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	137
P64421	HYBF_SALTY	reviewed	Hydrogenase maturation factor HybF	hybF STM3144	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	113
P37419	KBL_SALTY	reviewed	2-amino-3-ketobutyrate coenzyme A ligase (AKB ligase) (KBL) (EC 2.3.1.29) (Glycine acetyltransferase)	kbl STM3709	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	398
Q8ZN40	ISCS_SALTY	reviewed	Cysteine desulfurase IscS (EC 2.8.1.7)	iscS STM2543	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	404
Q8ZM98	KDUI_SALTY	reviewed	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17) (5-keto-4-deoxyuronate isomerase) (DKI isomerase)	kduI STM3018	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	278
P60997	LPHI_SALTY	reviewed	his operon leader peptide (his operon attenuator peptide)	hisL STM2070.1	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	16
P43663	LPFD_SALTY	reviewed	Protein LpfD	lpfD STM3637	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	359
Q8ZR69	LPXH_SALTY	reviewed	UDP-2,3-diacylglucosamine hydrolase (EC 3.6.1.54) (UDP-2,3-diacylglucosamine diphosphatase)	lpxH STM0535	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	240
Q8ZRY9	LSPA_SALTY	reviewed	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	lspA STM0047	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	166
Q8ZKQ4	LSRA_SALTY	reviewed	Autoinducer 2 import ATP-binding protein LsrA (AI-2 import ATP-binding protein LsrA) (EC 3.6.3.-)	lsrA STM4074	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	511
P0A2J1	LIVH_SALTY	reviewed	High-affinity branched-chain amino acid transport system permease protein LivH (LIV-I protein H)	livH livA STM3563	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	308
Q7CRA3	LPT_SALTY	reviewed	thr operon leader peptide (thr operon attenuator)	thrL STM0001	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	21
P32200	LPXA_SALTY	reviewed	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)	lpxA STM0228	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	262
Q7CPR7	MUG_SALTY	reviewed	G/U mismatch-specific DNA glycosylase (EC 3.2.2.28) (Double-strand-specific uracil glycosylase) (Mismatch-specific uracil DNA-glycosylase) (MUG)	mug STM3212	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	168
P26467	MALF_SALTY	reviewed	Maltose/maltodextrin transport system permease protein MalF	malF STM4228	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	514
P26478	MALM_SALTY	reviewed	Maltose operon periplasmic protein	malM STM4232	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	305
P0A214	MARB_SALTY	reviewed	Multiple antibiotic resistance protein MarB	marB STM1518	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	71
Q8ZRU7	MURE_SALTY	reviewed	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE STM0123	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	495
P0A2T4	MARR_SALTY	reviewed	Multiple antibiotic resistance protein MarR	marR STM1520	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	144
Q8ZMA8	MUTH_SALTY	reviewed	DNA mismatch repair protein MutH (Methyl-directed mismatch repair protein)	mutH STM3005	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	231
P0A273	LEXA_SALTY	reviewed	LexA repressor (EC 3.4.21.88)	lexA STM4237	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	202
P0A193	LIVG_SALTY	reviewed	High-affinity branched-chain amino acid transport ATP-binding protein LivG (LIV-I protein G)	livG livF STM3561	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	255
O87576	LNT_SALTY	reviewed	Apolipoprotein N-acyltransferase (ALP N-acyltransferase) (EC 2.3.1.-) (Copper homeostasis protein CutE)	lnt cutE STM0666	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	512
P58525	MTOX_SALTY	reviewed	N-methyl-L-tryptophan oxidase (MTOX) (EC 1.5.3.-)	solA STM1160	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	372
Q8ZMA5	LPLT_SALTY	reviewed	Lysophospholipid transporter LplT	lplT STM3009	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	400
P03062	LPL_SALTY	reviewed	leu operon leader peptide (leu operon attenuator peptide)	leuL leuLP STM0114	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	28
P0A2S0	LRP_SALTY	reviewed	Leucine-responsive regulatory protein	lrp STM0959	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	164
P65454	MURA_SALTY	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA STM3307	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	419
Q8ZKQ1	LSRB_SALTY	reviewed	Autoinducer 2-binding protein LsrB (AI-2-binding protein LsrB)	lsrB STM4077	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	340
Q8ZKP8	LSRE_SALTY	reviewed	Putative epimerase LsrE (EC 5.1.3.-)	lsrE STM4080	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	254
Q8ZKQ0	LSRF_SALTY	reviewed	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase (EC 2.3.1.245)	lsrF STM4078	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	291
Q8ZKQ5	LSRR_SALTY	reviewed	Transcriptional regulator LsrR	lsrR STM4073	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	319
Q8ZMX2	LYSAC_SALTY	reviewed	Protein lysine acetyltransferase Pat (EC 2.3.1.-)	pat yfiQ STM2651	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	886
P43661	LPFB_SALTY	reviewed	Chaperone protein LpfB	lpfB STM3639	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	232
Q8ZPP9	LPP2_SALTY	reviewed	Major outer membrane lipoprotein 2 (Murein-lipoprotein 2)	lpp2 lppB STM1376	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	79
Q7CQN4	LPP1_SALTY	reviewed	Major outer membrane lipoprotein 1 (Murein-lipoprotein 1)	lpp1 lppA STM1377	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	78
P0A1W0	LPPY_SALTY	reviewed	pyr operon leader peptide (pyrBI operon attenuator)	pyrL STM4461	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	33
P60959	LGT_SALTY	reviewed	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	lgt STM3002	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	291
P0CI68	LPMG_SALTY	reviewed	mgtA leader peptide (Regulatory leader peptide for mgtA)	mgtL STM4455.1	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	17
Q8ZQ08	LPOB_SALTY	reviewed	Penicillin-binding protein activator LpoB (PBP activator LpoB)	lpoB STM1207	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	212
P0A1X4	LPXD_SALTY	reviewed	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase (UDP-3-O-(3-OHC14)-GlcN N-acyltransferase) (EC 2.3.1.191) (UDP-3-O-(3-hydroxytetradecanoyl)glucosamine N-acyltransferase)	lpxD firA ssc STM0226	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	341
P17215	LIVJ_SALTY	reviewed	Leu/Ile/Val/Thr-binding protein (LIVT-BP)	livJ livB STM3567	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	365
P62527	LPID_SALTY	reviewed	ilv operon leader peptide (ilvGMEDA operon attenuator peptide)	ilvL STM3900 STMD1.92	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	32
Q8ZRN9	LPXB_SALTY	reviewed	Lipid-A-disaccharide synthase (EC 2.4.1.182)	lpxB STM0229	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	382
Q8ZRT9	LPXC_SALTY	reviewed	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	lpxC STM0134	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	305
Q8ZKQ3	LSRC_SALTY	reviewed	Autoinducer 2 import system permease protein LsrC (AI-2 import system permease protein LsrC)	lsrC STM4075	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	347
Q9L4T0	LUXS_SALTY	reviewed	S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS)	luxS STM2817	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	171
P37417	MURB_SALTY	reviewed	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase)	murB STM4137 STMF1.1	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	342
P0A1W6	LIVK_SALTY	reviewed	Leucine-specific-binding protein (L-BP) (LS-BP)	livK livC STM3564	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	369
P30296	LIVM_SALTY	reviewed	High-affinity branched-chain amino acid transport system permease protein LivM (LIV-I protein M)	livM livE STM3562	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	425
P61482	LOLD_SALTY	reviewed	Lipoprotein-releasing system ATP-binding protein LolD (EC 3.6.3.-)	lolD STM1218	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	233
P43664	LPFE_SALTY	reviewed	Protein LpfE	lpfE STM3636	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	175
P43660	LPFA_SALTY	reviewed	Long polar fimbria protein A	lpfA STM3640	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	178
Q8ZJV1	LPLA_SALTY	reviewed	Lipoate-protein ligase A (EC 6.3.1.20) (Lipoate--protein ligase)	lplA STM4576	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	338
Q8ZQC2	LPXK_SALTY	reviewed	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)	lpxK STM0985	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	325
Q8ZKQ2	LSRD_SALTY	reviewed	Autoinducer 2 import system permease protein LsrD (AI-2 import system permease protein LsrD)	lsrD STM4076	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	332
Q8ZKQ6	LSRK_SALTY	reviewed	Autoinducer-2 kinase (AI-2 kinase) (EC 2.7.1.189)	lsrK STM4072	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	530
Q8ZKP9	LSRG_SALTY	reviewed	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase (EC 5.3.1.32) (Autoinducer 2-degrading protein LsrG) (AI-2-degrading protein LsrG) (Phospho-(S)-4,5-dihydroxy-2,3-pentanedione isomerase) (Phospho-AI-2 isomerase)	lsrG STM4079	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	96
P65207	KDGT1_SALTY	reviewed	2-keto-3-deoxygluconate permease 1 (KDG permease 1)	kdgT1 kdgT STM0161	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	317
Q8ZP00	MNTP_SALTY	reviewed	Probable manganese efflux pump MntP	mntP yebN STM1834	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	188
Q8ZQW1	KDPA_SALTY	reviewed	Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain)	kdpA STM0706	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	559
Q8ZQW2	KDPB_SALTY	reviewed	Potassium-transporting ATPase ATP-binding subunit (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	kdpB STM0705	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	682
P67710	MNTR_SALTY	reviewed	Transcriptional regulator MntR (Manganese transport regulator)	mntR STM0835	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	157
P65215	KDSA_SALTY	reviewed	2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase)	kdsA STM1772	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	284
Q8ZLL3	KEFB_SALTY	reviewed	Glutathione-regulated potassium-efflux system protein KefB (K(+)/H(+) antiporter)	kefB STM3457	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	601
Q8ZRW2	KEFC_SALTY	reviewed	Glutathione-regulated potassium-efflux system protein KefC (K(+)/H(+) antiporter)	kefC STM0086	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	620
Q8ZRW3	KEFF_SALTY	reviewed	Glutathione-regulated potassium-efflux system ancillary protein KefF (Quinone oxidoreductase KefF) (EC 1.6.5.2)	kefF STM0085	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	176
