Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P08722	PTV3B_ECOLI	reviewed	PTS system beta-glucoside-specific EIIBCA component (EIIBCA-Bgl) (EII-Bgl) [Includes: Beta-glucoside-specific phosphotransferase enzyme IIB component (EC 2.7.1.-) (PTS system beta-glucoside-specific EIIB component); Beta-glucoside permease IIC component (PTS system beta-glucoside-specific EIIC component); Beta-glucoside-specific phosphotransferase enzyme IIA component (PTS system beta-glucoside-specific EIIA component)]	bglF bglC bglS b3722 JW3700	Escherichia coli (strain K12)	625
P77272	PTYBC_ECOLI	reviewed	PTS system N-acetylmuramic acid-specific EIIBC component (EIIBC-MurNAc) [Includes: N-acetylmuramic acid-specific phosphotransferase enzyme IIB component (EC 2.7.1.192) (PTS system N-acetylmuramic acid-specific EIIB component); N-acetylmuramic acid permease IIC component (PTS system N-acetylmuramic acid-specific EIIC component)]	murP yfeV b2429 JW2422	Escherichia coli (strain K12)	474
P0AFE4	NUOK_ECOLI	reviewed	NADH-quinone oxidoreductase subunit K (EC 7.1.1.-) (NADH dehydrogenase I subunit K) (NDH-1 subunit K) (NUO11)	nuoK b2279 JW2274	Escherichia coli (strain K12)	100
P0AFF0	NUON_ECOLI	reviewed	NADH-quinone oxidoreductase subunit N (EC 7.1.1.-) (NADH dehydrogenase I subunit N) (NDH-1 subunit N) (NUO14)	nuoN b2276 JW2271	Escherichia coli (strain K12)	485
P0AG16	PUR1_ECOLI	reviewed	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	purF b2312 JW2309	Escherichia coli (strain K12)	505
P20083	PARE_ECOLI	reviewed	DNA topoisomerase 4 subunit B (EC 5.99.1.3) (Topoisomerase IV subunit B)	parE nfxD b3030 JW2998	Escherichia coli (strain K12)	630
P02918	PBPA_ECOLI	reviewed	Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	mrcA ponA b3396 JW3359	Escherichia coli (strain K12)	850
Q46790	PBL_ECOLI	reviewed	Putative peptidoglycan-binding-like protein	pbl b2854	Escherichia coli (strain K12)	158
P76577	PBPC_ECOLI	reviewed	Penicillin-binding protein 1C (PBP-1c) (PBP1c) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Transpeptidase-like module]	pbpC yfgN b2519 JW2503	Escherichia coli (strain K12)	770
P52006	NUDI_ECOLI	reviewed	Nucleoside triphosphatase NudI (EC 3.6.1.9) (Nucleotide diphosphatase NudI) (Pyrimidine deoxynucleoside triphosphate diphosphatase) (dCTP diphosphatase) (EC 3.6.1.12) (dTTP diphosphatase) (EC 3.6.1.-) (dUTP diphosphatase) (EC 3.6.1.23)	nudI yfaO b2251 JW2245	Escherichia coli (strain K12)	141
P0AFC3	NUOA_ECOLI	reviewed	NADH-quinone oxidoreductase subunit A (EC 7.1.1.-) (NADH dehydrogenase I subunit A) (NDH-1 subunit A) (NUO1)	nuoA b2288 JW2283	Escherichia coli (strain K12)	147
P0AFE0	NUOJ_ECOLI	reviewed	NADH-quinone oxidoreductase subunit J (EC 7.1.1.-) (NADH dehydrogenase I subunit J) (NDH-1 subunit J) (NUO10)	nuoJ b2280 JW2275	Escherichia coli (strain K12)	184
P0AFG0	NUSG_ECOLI	reviewed	Transcription termination/antitermination protein NusG	nusG b3982 JW3945	Escherichia coli (strain K12)	181
P0ADA7	OSMB_ECOLI	reviewed	Osmotically-inducible lipoprotein B	osmB b1283 JW1275	Escherichia coli (strain K12)	72
P69801	PTNC_ECOLI	reviewed	PTS system mannose-specific EIIC component (EII-P-Man) (EIIC-Man) (Mannose permease IIC component)	manY pel ptsP b1818 JW1807	Escherichia coli (strain K12)	266
P69805	PTND_ECOLI	reviewed	PTS system mannose-specific EIID component (EII-M-Man) (EIID-Man) (Mannose permease IID component)	manZ gptB ptsM b1819 JW1808	Escherichia coli (strain K12)	283
Q46890	OTNC_ECOLI	reviewed	3-oxo-tetronate 4-phosphate decarboxylase (EC 4.1.1.104)	otnC ygbL b2738 JW2708	Escherichia coli (strain K12)	212
P69829	PTSN_ECOLI	reviewed	Nitrogen regulatory protein (Enzyme IIA-NTR) (PTS system EIIA component) (Phosphotransferase enzyme IIA component)	ptsN rpoP yhbI b3204 JW3171	Escherichia coli (strain K12)	163
P32664	NUDC_ECOLI	reviewed	NADH pyrophosphatase (EC 3.6.1.22)	nudC yjaD b3996 JW5548	Escherichia coli (strain K12)	257
P0AFC7	NUOB_ECOLI	reviewed	NADH-quinone oxidoreductase subunit B (EC 7.1.1.-) (NADH dehydrogenase I subunit B) (NDH-1 subunit B) (NUO2)	nuoB b2287 JW5875	Escherichia coli (strain K12)	220
P31979	NUOF_ECOLI	reviewed	NADH-quinone oxidoreductase subunit F (EC 7.1.1.-) (NADH dehydrogenase I subunit F) (NDH-1 subunit F) (NUO6)	nuoF b2284 JW2279	Escherichia coli (strain K12)	445
P33602	NUOG_ECOLI	reviewed	NADH-quinone oxidoreductase subunit G (EC 7.1.1.-) (NADH dehydrogenase I subunit G) (NDH-1 subunit G) (NUO7)	nuoG b2283 JW2278	Escherichia coli (strain K12)	908
P0AFD6	NUOI_ECOLI	reviewed	NADH-quinone oxidoreductase subunit I (EC 7.1.1.-) (NADH dehydrogenase I subunit I) (NDH-1 subunit I) (NUO9)	nuoI b2281 JW2276	Escherichia coli (strain K12)	180
P33607	NUOL_ECOLI	reviewed	NADH-quinone oxidoreductase subunit L (EC 7.1.1.-) (NADH dehydrogenase I subunit L) (NDH-1 subunit L) (NUO12)	nuoL b2278 JW2273	Escherichia coli (strain K12)	613
P0AFE8	NUOM_ECOLI	reviewed	NADH-quinone oxidoreductase subunit M (EC 7.1.1.-) (NADH dehydrogenase I subunit M) (NDH-1 subunit M) (NUO13)	nuoM b2277 JW2272	Escherichia coli (strain K12)	509
P0AFF2	NUPC_ECOLI	reviewed	Nucleoside permease NupC (Nucleoside-transport system protein NupC)	nupC cru b2393 JW2389	Escherichia coli (strain K12)	400
P0AG82	PSTS_ECOLI	reviewed	Phosphate-binding protein PstS (PBP)	pstS phoS b3728 JW3706	Escherichia coli (strain K12)	346
P0AFI5	PBP7_ECOLI	reviewed	D-alanyl-D-alanine endopeptidase (DD-endopeptidase) (EC 3.4.21.-) (Penicillin-binding protein 7) (PBP-7)	pbpG yohB b2134 JW5355	Escherichia coli (strain K12)	310
P76261	PDED_ECOLI	reviewed	Probable cyclic di-GMP phosphodiesterase PdeD (EC 3.1.4.52)	pdeD adrB yoaD b1815 JW1804	Escherichia coli (strain K12)	532
P77172	PDEF_ECOLI	reviewed	Cyclic di-GMP phosphodiesterase PdeF (EC 3.1.4.52)	pdeF yfgF b2503 JW2488	Escherichia coli (strain K12)	747
P25906	PDXI_ECOLI	reviewed	Pyridoxine 4-dehydrogenase (EC 1.1.1.65)	pdxI ydbC b1406 JW1403	Escherichia coli (strain K12)	286
P40191	PDXK_ECOLI	reviewed	Pyridoxine/pyridoxal/pyridoxamine kinase (PN/PL/PM kinase) (EC 2.7.1.35) (B6-vitamer kinase) (Pyridoxal kinase 1) (PL kinase 1)	pdxK yfeI b2418 JW2411	Escherichia coli (strain K12)	283
P0A794	PDXJ_ECOLI	reviewed	Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)	pdxJ b2564 JW2548	Escherichia coli (strain K12)	243
P77528	PEAD_ECOLI	reviewed	Putative protein PeaD	peaD ybcD b4508	Escherichia coli (strain K12)	78
P0AB89	PUR8_ECOLI	reviewed	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	purB b1131 JW1117	Escherichia coli (strain K12)	456
P75995	PDEG_ECOLI	reviewed	Probable cyclic di-GMP phosphodiesterase PdeG (EC 3.1.4.52)	pdeG ycgG b1168 JW5174	Escherichia coli (strain K12)	507
P37646	PDEH_ECOLI	reviewed	Cyclic di-GMP phosphodiesterase PdeH (EC 3.1.4.52)	pdeH yhjH b3525 JW3493	Escherichia coli (strain K12)	255
P19624	PDXA_ECOLI	reviewed	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	pdxA b0052 JW0051	Escherichia coli (strain K12)	329
P0A7D4	PURA_ECOLI	reviewed	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA adeK b4177 JW4135	Escherichia coli (strain K12)	432
P0AFI7	PDXH_ECOLI	reviewed	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)	pdxH b1638 JW1630	Escherichia coli (strain K12)	218
P0AFG3	ODO1_ECOLI	reviewed	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase)	sucA b0726 JW0715	Escherichia coli (strain K12)	933
P0AGH8	PSTC_ECOLI	reviewed	Phosphate transport system permease protein PstC	pstC phoW b3727 JW3705	Escherichia coli (strain K12)	319
P33025	PSUG_ECOLI	reviewed	Pseudouridine-5'-phosphate glycosidase (PsiMP glycosidase) (EC 4.2.1.70)	psuG pscG yeiN b2165 JW2152	Escherichia coli (strain K12)	312
P30235	PSUK_ECOLI	reviewed	Pseudouridine kinase (EC 2.7.1.83)	psuK pscK yeiC b2166 JW2153	Escherichia coli (strain K12)	313
P33024	PSUT_ECOLI	reviewed	Putative pseudouridine transporter	psuT pscT yeiM b2164 JW2151	Escherichia coli (strain K12)	416
P37177	PT1P_ECOLI	reviewed	Phosphoenolpyruvate-dependent phosphotransferase system (EC 2.7.3.9) (Enzyme I-Ntr) (EINtr) (Phosphotransferase system, enzyme I)	ptsP ygdF ygdO b2829 JW2797	Escherichia coli (strain K12)	748
P08839	PT1_ECOLI	reviewed	Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)	ptsI b2416 JW2409	Escherichia coli (strain K12)	575
P0A9M8	PTA_ECOLI	reviewed	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)	pta b2297 JW2294	Escherichia coli (strain K12)	714
P24205	LPXM_ECOLI	reviewed	Lipid A biosynthesis myristoyltransferase (EC 2.3.1.243) (Kdo(2)-lauroyl-lipid IV(A) myristoyltransferase)	lpxM msbB b1855 JW1844	Escherichia coli (strain K12)	323
P0A752	NADD_ECOLI	reviewed	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	nadD ybeN b0639 JW0634	Escherichia coli (strain K12)	213
P09152	NARG_ECOLI	reviewed	Respiratory nitrate reductase 1 alpha chain (EC 1.7.5.1) (Nitrate reductase A subunit alpha) (Quinol-nitrate oxidoreductase subunit alpha)	narG bisD narC b1224 JW1215	Escherichia coli (strain K12)	1247
P23843	OPPA_ECOLI	reviewed	Periplasmic oligopeptide-binding protein	oppA b1243 JW1235	Escherichia coli (strain K12)	543
P0AFH2	OPPB_ECOLI	reviewed	Oligopeptide transport system permease protein OppB	oppB b1244 JW1236	Escherichia coli (strain K12)	306
P08373	MURB_ECOLI	reviewed	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase)	murB yijB b3972 JW3940	Escherichia coli (strain K12)	342
P0AFH6	OPPC_ECOLI	reviewed	Oligopeptide transport system permease protein OppC	oppC b1245 JW1237	Escherichia coli (strain K12)	302
P14900	MURD_ECOLI	reviewed	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD b0088 JW0086	Escherichia coli (strain K12)	438
P76535	MURQ_ECOLI	reviewed	N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase)	murQ yfeU b2428 JW2421	Escherichia coli (strain K12)	298
P0AF10	MTLR_ECOLI	reviewed	Mannitol operon repressor (Mannitol repressor protein)	mtlR b3601 JW3575	Escherichia coli (strain K12)	195
P40874	MTOX_ECOLI	reviewed	N-methyl-L-tryptophan oxidase (MTOX) (EC 1.5.3.-)	solA b1059 JW1046	Escherichia coli (strain K12)	372
P17952	MURC_ECOLI	reviewed	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	murC b0091 JW0089	Escherichia coli (strain K12)	491
P22188	MURE_ECOLI	reviewed	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE b0085 JW0083	Escherichia coli (strain K12)	495
P11880	MURF_ECOLI	reviewed	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme) (UDP-MurNAc-pentapeptide synthetase)	murF mra b0086 JW0084	Escherichia coli (strain K12)	452
P22634	MURI_ECOLI	reviewed	Glutamate racemase (EC 5.1.1.3)	murI dga glr yijA b3967 JW5550	Escherichia coli (strain K12)	285
P37057	OGRK_ECOLI	reviewed	Prophage late control protein OgrK (Prophage P2 OGR protein)	ogrK b2082 JW2067	Escherichia coli (strain K12)	72
P02931	OMPF_ECOLI	reviewed	Outer membrane protein F (Outer membrane protein 1A) (Outer membrane protein B) (Outer membrane protein IA) (Porin OmpF)	ompF cmlB coa cry tolF b0929 JW0912	Escherichia coli (strain K12)	362
P76045	OMPG_ECOLI	reviewed	Outer membrane protein G	ompG b1319 JW1312	Escherichia coli (strain K12)	301
P76773	OMPL_ECOLI	reviewed	Porin OmpL	ompL yshA b3875 JW3846	Escherichia coli (strain K12)	230
P77747	OMPN_ECOLI	reviewed	Outer membrane protein N (Porin OmpN)	ompN ynaG b1377 JW1371	Escherichia coli (strain K12)	377
P0A915	OMPW_ECOLI	reviewed	Outer membrane protein W	ompW yciD b1256 JW1248	Escherichia coli (strain K12)	212
P0A917	OMPX_ECOLI	reviewed	Outer membrane protein X	ompX ybiG b0814 JW0799	Escherichia coli (strain K12)	171
P39401	OPGB_ECOLI	reviewed	Phosphoglycerol transferase I (EC 2.7.8.20) (Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase)	mdoB opgB yjjO b4359 JW5794	Escherichia coli (strain K12)	763
P75920	OPGC_ECOLI	reviewed	Glucans biosynthesis protein C (EC 2.1.-.-)	mdoC opgC ymdD b1047 JW1034	Escherichia coli (strain K12)	385
P76027	OPPD_ECOLI	reviewed	Oligopeptide transport ATP-binding protein OppD	oppD b1246 JW1238	Escherichia coli (strain K12)	337
P77737	OPPF_ECOLI	reviewed	Oligopeptide transport ATP-binding protein OppF	oppF b1247 JW1239	Escherichia coli (strain K12)	334
P37329	MODA_ECOLI	reviewed	Molybdate-binding protein ModA (Molybdate/tungstate-binding protein ModA)	modA b0763 JW0746	Escherichia coli (strain K12)	257
P60752	MSBA_ECOLI	reviewed	Lipid A export ATP-binding/permease protein MsbA (EC 7.5.2.6)	msbA b0914 JW0897	Escherichia coli (strain K12)	582
P0A744	MSRA_ECOLI	reviewed	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	msrA pms b4219 JW4178	Escherichia coli (strain K12)	212
P0A746	MSRB_ECOLI	reviewed	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	msrB yeaA b1778 JW1767	Escherichia coli (strain K12)	137
P76270	MSRC_ECOLI	reviewed	Free methionine-R-sulfoxide reductase (fRMsr) (EC 1.8.4.14)	msrC yebR b1832 JW1821	Escherichia coli (strain K12)	165
P46022	MTGA_ECOLI	reviewed	Biosynthetic peptidoglycan transglycosylase (EC 2.4.1.129) (Glycan polymerase) (Monofunctional biosynthetic peptidoglycan transglycosylase) (Monofunctional glycosyltransferase) (Monofunctional GTase) (Peptidoglycan glycosyltransferase MtgA) (PGT)	mtgA mgt yrbM b3208 JW3175	Escherichia coli (strain K12)	242
P08337	MUTT_ECOLI	reviewed	8-oxo-dGTP diphosphatase (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (Mutator protein MutT) (dGTP pyrophosphohydrolase)	mutT b0099 JW0097	Escherichia coli (strain K12)	129
P17802	MUTY_ECOLI	reviewed	Adenine DNA glycosylase (EC 3.2.2.31) (A/G-specific adenine glycosylase)	mutY micA b2961 JW2928	Escherichia coli (strain K12)	350
P21165	PEPQ_ECOLI	reviewed	Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Proline dipeptidase) (Prolidase)	pepQ b3847 JW3823	Escherichia coli (strain K12)	443
P0AEZ9	MOAB_ECOLI	reviewed	Molybdenum cofactor biosynthesis protein B	moaB chlA2 b0782 JW0765	Escherichia coli (strain K12)	170
P0A784	ORN_ECOLI	reviewed	Oligoribonuclease (EC 3.1.-.-)	orn o204a yjeR b4162 JW5740	Escherichia coli (strain K12)	181
P37613	PANZ_ECOLI	reviewed	PanD regulatory factor	panZ panM yhhK b3459 JW3424	Escherichia coli (strain K12)	127
P09424	MTLD_ECOLI	reviewed	Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	mtlD b3600 JW3574	Escherichia coli (strain K12)	382
P0AFH0	OGT_ECOLI	reviewed	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase)	ogt b1335 JW1329	Escherichia coli (strain K12)	171
P0A9H1	MUG_ECOLI	reviewed	G/U mismatch-specific DNA glycosylase (EC 3.2.2.28) (Double-strand-specific uracil glycosylase) (Mismatch-specific uracil DNA-glycosylase) (MUG)	mug ygjF b3068 JW3040	Escherichia coli (strain K12)	168
P22523	MUKB_ECOLI	reviewed	Chromosome partition protein MukB (Structural maintenance of chromosome-related protein)	mukB b0924 JW0907	Escherichia coli (strain K12)	1486
P22524	MUKE_ECOLI	reviewed	Chromosome partition protein MukE (Protein KicA)	mukE kicA ycbA b0923 JW0906	Escherichia coli (strain K12)	234
P60293	MUKF_ECOLI	reviewed	Chromosome partition protein MukF (Protein KicB)	mukF kicB b0922 JW0905	Escherichia coli (strain K12)	440
P0A749	MURA_ECOLI	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA murZ b3189 JW3156	Escherichia coli (strain K12)	419
P27298	OPDA_ECOLI	reviewed	Oligopeptidase A (EC 3.4.24.70)	prlC opdA b3498 JW3465	Escherichia coli (strain K12)	680
P75785	OPGE_ECOLI	reviewed	Phosphoethanolamine transferase OpgE (EC 2.7.-.-)	opgE ybiP b0815 JW0800	Escherichia coli (strain K12)	527
P33136	OPGG_ECOLI	reviewed	Glucans biosynthesis protein G	mdoG opgG b1048 JW1035	Escherichia coli (strain K12)	511
P62517	OPGH_ECOLI	reviewed	Glucans biosynthesis glucosyltransferase H (EC 2.4.1.-)	mdoH opgH b1049 JW1037	Escherichia coli (strain K12)	847
P0A6U3	MNMG_ECOLI	reviewed	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	mnmG gidA trmF b3741 JW3719	Escherichia coli (strain K12)	629
P0AFF6	NUSA_ECOLI	reviewed	Transcription termination/antitermination protein NusA (N utilization substance protein A) (Transcription termination/antitermination L factor)	nusA b3169 JW3138	Escherichia coli (strain K12)	495
P30745	MOAA_ECOLI	reviewed	GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)	moaA bisA chlA chlA1 narA b0781 JW0764	Escherichia coli (strain K12)	329
P0AF01	MODB_ECOLI	reviewed	Molybdenum transport system permease protein ModB	modB chlJ b0764 JW0747	Escherichia coli (strain K12)	229
P0ACR9	MPRA_ECOLI	reviewed	Transcriptional repressor MprA (Protein EmrR)	mprA emrR b2684 JW2659	Escherichia coli (strain K12)	176
P0A9X4	MREB_ECOLI	reviewed	Cell shape-determining protein MreB (Actin-like MreB protein) (Rod shape-determining protein MreB)	mreB envB rodY b3251 JW3220	Escherichia coli (strain K12)	347
P76346	MTFA_ECOLI	reviewed	Protein MtfA (Mlc titration factor A)	mtfA yeeI b1976 JW1958	Escherichia coli (strain K12)	265
P0A910	OMPA_ECOLI	reviewed	Outer membrane protein A (Outer membrane protein II*)	ompA con tolG tut b0957 JW0940	Escherichia coli (strain K12)	346
P06996	OMPC_ECOLI	reviewed	Outer membrane protein C (Outer membrane protein 1B) (Porin OmpC)	ompC meoA par b2215 JW2203	Escherichia coli (strain K12)	367
P34210	OMPP_ECOLI	reviewed	Outer membrane protease OmpP (EC 3.4.23.-)	ompP ompX ECOK12F029	Escherichia coli (strain K12)	315
P0AA16	OMPR_ECOLI	reviewed	Transcriptional regulatory protein OmpR	ompR kmt ompB b3405 JW3368	Escherichia coli (strain K12)	239
P09169	OMPT_ECOLI	reviewed	Protease 7 (EC 3.4.23.49) (Omptin) (Outer membrane protein 3B) (Protease A) (Protease VII)	ompT b0565 JW0554	Escherichia coli (strain K12)	317
P40120	OPGD_ECOLI	reviewed	Glucans biosynthesis protein D	mdoD opgD ydcG yzzZ b1424 JW1420	Escherichia coli (strain K12)	551
P17443	MURG_ECOLI	reviewed	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG b0090 JW0088	Escherichia coli (strain K12)	355
P0AF16	MURJ_ECOLI	reviewed	Lipid II flippase MurJ (Peptidoglycan biosynthesis protein MurJ)	murJ mviN yceN b1069 JW1056	Escherichia coli (strain K12)	511
P77245	MURR_ECOLI	reviewed	HTH-type transcriptional regulator MurR (MurPQ operon repressor)	murR yfeT b2427 JW2420	Escherichia coli (strain K12)	285
P10902	NADB_ECOLI	reviewed	L-aspartate oxidase (LASPO) (EC 1.4.3.16) (Quinolinate synthase B)	nadB nicB b2574 JW2558	Escherichia coli (strain K12)	540
P0A9G8	MODE_ECOLI	reviewed	DNA-binding transcriptional dual regulator ModE	modE modR b0761 JW0744	Escherichia coli (strain K12)	262
P0ACV6	MPAA_ECOLI	reviewed	Protein MpaA	mpaA ycjI b1326 JW1319	Escherichia coli (strain K12)	242
P77348	MPPA_ECOLI	reviewed	Periplasmic murein peptide-binding protein	mppA ynaH b1329 JW1322	Escherichia coli (strain K12)	537
P0ABH4	MRED_ECOLI	reviewed	Rod shape-determining protein MreD	mreD b3249 JW3218	Escherichia coli (strain K12)	162
P06722	MUTH_ECOLI	reviewed	DNA mismatch repair protein MutH (Methyl-directed mismatch repair protein)	mutH mutR prv b2831 JW2799	Escherichia coli (strain K12)	229
P23367	MUTL_ECOLI	reviewed	DNA mismatch repair protein MutL	mutL b4170 JW4128	Escherichia coli (strain K12)	615
Q47005	NAC_ECOLI	reviewed	Nitrogen assimilation regulatory protein nac (Nitrogen assimilation control protein)	nac b1988 JW1967	Escherichia coli (strain K12)	305
P11458	NADA_ECOLI	reviewed	Quinolinate synthase A (EC 2.5.1.72)	nadA nicA b0750 JW0733	Escherichia coli (strain K12)	347
P18843	NADE_ECOLI	reviewed	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5) (Nicotinamide adenine dinucleotide synthetase) (NADS) (Nitrogen regulatory protein)	nadE efg ntrL b1740 JW1729	Escherichia coli (strain K12)	275
P0AF20	NAGC_ECOLI	reviewed	N-acetylglucosamine repressor	nagC nagR b0676 JW0662	Escherichia coli (strain K12)	406
P25522	MNME_ECOLI	reviewed	tRNA modification GTPase MnmE (EC 3.6.-.-)	mnmE thdF trmE b3706 JW3684	Escherichia coli (strain K12)	454
P25738	MSYB_ECOLI	reviewed	Acidic protein MsyB	msyB b1051 JW1039	Escherichia coli (strain K12)	124
